"","sentence_text_new"
"4","1987 Conservative Party General Election Manifesto. The Next Moves Forward. FOREWORD. In the last eight years our country has changed - changed for the better."
"5","We have discovered a new strength and a new pride."
"6","We have fostered a new spirit of enterprise."
"7","We have risen to fresh challenges at home and abroad."
"8","Once again our economy is strong."
"9","Our industries are flourishing."
"10","Unemployment is falling."
"11","Founded on this new prosperity, we are building a better Health Service and providing more care for those in need."
"12","Living standards are higher than ever before."
"13","Our people have the protection of a stronger defence and more police."
"14","Britain has come right by her own efforts."
"15","We trusted in the character and talents of our people."
"16","The British instinct is for choice and independence."
"17","Given the opportunities provided by Conservative policies, many more families now enjoy the pride of ownership of homes, of shares and of pensions."
"18","Together we are building One Nation of free, prosperous and responsible families and people."
"19","A Conservative dream is at last becoming a reality."
"20","This Manifesto points the way forward."
"22","The British Revival. This manifesto sets out our vision for the Britain of the 1990s and beyond, a future based on the aspirations of millions of individuals and their families their hopes, their needs, their security."
"23","For the first time in a generation this country looks forward to an era of real prosperity and fulfilment."
"24","A vast change separates the Britain of today from the Britain of the late 1970s."
"25","Is it really only such a short time ago that inflation rose to an annual rate of 27 per cent?"
"26","That the leader of the Transport and General Workers' Union was widely seen as the most powerful man in the land?"
"27","That a minority Labour Government, staggering from crisis to crisis on borrowed money, was nonetheless maintained in power by the Liberal Party in return for the paper concession of a Lib-Lab pact?"
"28","And that Labour's much-vaunted pay pact with the unions collapsed in the industrial anarchy of the winter of discontent, n which the dead went unburied, rubbish piled up in the streets and the country was gripped by a creeping paralysis which Labour was powerless to cure?"
"29","It seems in retrospect to be the history of another country."
"30","Yet these things happened and people had to accept them as an unavoidable part of everyday life."
"32","Reversing the Decline. Remember the conventional wisdom of the day."
"33","The British people were ungovernable."
"34","We were in the grip of an incurable British disease."
"35","Britain was heading for irreversible decline."
"36","Well, the people were not ungovernable, the disease was not incurable, the decline has been reversed."
"37","Britain today is in the seventh successive year of steady economic growth."
"38","We have moved from the bottom to the top of the growth league of major European countries."
"39","In Britain today, inflation has reached its lowest levels for almost twenty years."
"40","In Britain today, the number of strikes has dropped to the lowest levels for 50 years."
"41","In Britain today, far from being in debt to the IMF, we have built up our net overseas assets to their highest level since the Second World War - higher than France, Germany and the United States, second only to Japan."
"42","In Britain today, living standards are higher than ever before in our history."
"43","But these are bald statistics."
"44","What matters is the feel of the country - the new enthusiasm for enterprise, the new spirit that Britain can make it, that we can prosper with the best."
"45","Investment in British industry is rising strongly."
"46","Our services sector, employing almost two-thirds of our workforce, generates a vast surplus of foreign earnings."
"47","And our manufacturers are travelling the globe with a new confidence born of the knowledge that Britain is internationally competitive again."
"49","The World Stage. This national revival is not confined to increased economic strength."
"50","Britain is also playing a major part on the international stage."
"51","From the White House through Europe to the Kremlin our voice is heard on arms control, on East-West issues, on human rights, on the Middle East and on African affairs."
"52","With the Conservative Government, Britain has played a strong and responsible role internationally."
"53","We have defended civilised values by fighting terrorism relentlessly."
"54","We have secured our national interests, as when we liberated the Falklands."
"55","We have been ready to settle long-standing issues like Hong Kong where we reached an agreement to safeguard the way of life of the people."
"56","Time and again we have shown that we possess the essential requirements of successful diplomacy: we stand firm on principles yet are ready to negotiate and prepared to take decisive action."
"58","Founded in Strength. The ability to act internationally does not come without effort."
"59","It must be founded on a strong economy and a robust defence."
"60","This Government took the necessary steps to build up both."
"61","Success has followed."
"62","Prudent financial policies have made Britain one of the world's largest creditors."
"63","Today we are able to shape world efforts to sustain trade and promote international monetary co-operation."
"64","We gave a lead in NATO and installed Cruise missiles."
"65","Today, as a result, the Soviet Union is at last prepared to negotiate to remove its own missiles targeted against us."
"66","This Government is modernising our own independent deterrent."
"67","Today Britain retains an independent influence in arms control negotiations between the superpowers."
"68","By such steadfastness, we have not only rebuilt our economy and re-established our world reputation"
"69","we have also regained our national self-respect."
"70","But restoring a country's greatness is not easy."
"71","The new Conservative policies met bitter resistance every step of the way."
"73","Remember: The year-long coal strike, with its violence and intimidation on a massive scale."
"74","It failed and mining productivity has since soared."
"75","The battle we had to fight to ensure that Britain paid no more than its fair share of the European Community Budget."
"76","We now get automatic rebates - this year, over £1.3 billion."
"77","The doubling of the oil price which confronted the new Government with a world-wide recession - and, more recently, an equally dramatic fall in the oil price which halved government oil revenues and in earlier times would have threatened a collapse of confidence in the pound."
"78","Both these oil shocks were successfully withstood by prudent policies which have produced a sustained growth of prosperity."
"79","And let us not forget the challenge of the Falklands War."
"80","How many of the alternative governments on offer would have stood firm, overcome, or even survived such difficulties?"
"81","Does anyone suppose that the Labour Party would have resisted, let alone defeated, the violence and intimidation in the coal strike?"
"82","Or that the Liberals or the Social Democrats would have fought so hard for our rebate from the European Community?"
"83","Or that any of the Opposition parties would have persevered through all these difficulties to break the back of inflation and restore honest money?"
"85","A Strong and Stable Government. How has it been done?"
"86","All these improvements in the wealth and standing of our country have only been possible because we have had a strong government with sound policies and a decisive majority in Parliament."
"87","A weak government with uncertain policies would not have known how to withstand the pressures upon it"
"88","a government without a good overall majority in Parliament would not have been allowed to do so"
"89","and a strong government with unso1ind policies would have been a positive force for disaster."
"90","In this election, only the Conservative Party is offering strong, decisive and united government."
"92","The Next Moves Forward. The next Conservative Government will build on the achievements of the past eight years with a full programme of positive reform."
"93","We will continue: to pursue policies of sound financial management, the conquest of inflation, the promotion of enterprise and the growth of employment"
"94","to spread the ownership of homes, shares, pensions and savings ever more widely to give families greater financial independence"
"95","to give people greater choice and responsibility over their own lives in important areas such as housing and education"
"96","to improve the well-being of the people through better health care, and to safeguard the living standards of those who have to depend on the community"
"97","to improve the quality of life by conserving the best of our heritage and our countryside, and by fostering provision for the arts and sport"
