"","sentence_text_new"
"4","LIBERAL-SDP ALLIANCE: 1987. Britain United: The Time Has Come. FOREWARD: BRITAIN UNITED. The Alliance's vision is of a Britain united, a Britain confident, compassionate and competitive."
"5","We know that it is possible to unite our country."
"6","We know the British people want greater unity."
"7","But we also know the task of drawing Britain together again can only be achieved through political, economic and social reform on a scale not contemplated in our country for over forty years."
"8","At the last election, about a third of the nation's voters didn't even both to turn out."
"9","It's hard to think of a more damning condemnation of politics in this country."
"10","But it's not difficult to understand why so many people feel cynical and uninterested."
"11","Since the last war the Tories and Labour have each had six turns at Government."
"12","Many honourable men and women on both sides have worked hard for the nation but the system has defeated all but a few."
"13","Rigid dogmas, the overriding need for party unity, and indiscriminate three-line whips have all helped to create a climate of conflict and rancour."
"14","Listen to Parliamentary question time and count how many times the Speaker has to call for order."
"15","We've had forty years of yah-boo politics and where has it got us?"
"16","We live in a country that is patently unfair to many of its citizens."
"17","While politicians brandish statistics at each other on TV chat shows, we can all see with our own eyes what is happening to our schools, hospitals and inner cities."
"18","We know there is more crime because our own homes have been broken into, our own neighbours have been mugged, our own children have been offered drugs."
"19","We know that unemployment remains a huge problem because few families haven't been touched by its shadow."
"20","For many, the situation seems hopeless."
"21","Unable to contemplate five more years of uncaring government under Mrs Thatcher, they still do not trust the Labour Party."
"22","Mr Kinnock tries hard but for how long can he keep the lid on the extremists of the Left?"
"23","They already dominate some of the Town Halls."
"24","When the election is over, will they emerge again to claim the rewards of their silence?"
"25","Many of these people feel that the Alliance is the answer - but they ask what chance does it have of changing things?"
"26","The answer is - every chance."
"27","At the last election, the Alliance won nearly 8 million votes, little less than the Labour Party."
"28","If just 72 more people in every 700 vote for the Alliance this time, we will be the single largest party in Parliament."
"29","If just 5 more people in every 700 support us, we would have over 70 seats and almost certainly hold the balance of power."
"30","Think of it."
"31","Issues would be judged on their merits."
"32","We would curb the Tories' divisive policies and stop the destructive antics of the Labour Left."
"33","Politicians would be forced to listen to each other and work together."
"34","The two-party, two-class pantomime would finally be over."
"35","It's not an impossible dream."
"36","It's closer now than at any time in our history."
"37","All you have to do to make it happen is to vote Alliance on June 17th."
"39","INTRODUCTION. There has never been an election like this in modern times."
"40","All the evidence and all the commentators confirm that it is a three-way contest which the Alliance enters from a position of unprecedented strength and promise."
"41","The Official Opposition is falling apart and is now quite unable to present itself as a realistic alternative to a Government which presides over the worst unemployment ever known in the lifetime of those who are of working age."
"42","The two-party system has broken down because it is rooted in outdated battles of class and ideology, and provides no outlet for the vast numbers of people who want individual freedom to go hand-in-hand with social justice, who want the state to back industry without trying to take it over, who want power to be given back to communities instead of concentrated in Whitehall and who want a nation which is soundly defended but takes the lead in the quest for negotiated disarmament and a fairer world."
"43","In any Government the policies which have been set out in the election programme can only tell part of the story of how they will behave in office."
"44","It is at least as important to know and trust the values and principles for which they stand, and which will guide their response to the new events and new problems with which governments have to deal."
"45","These values, we believe, are embodied in this Joint Programme."
"46","They are our guide-book for government:  "
"47","Governments are there to protect and preserve the freedom of citizens, to whom they should be accountable and open. "
"48","Freedom must extend to all the people, and Governments must therefore widen the opportunities of those whose liberty is limited by lack of employment, education, health care, housing or help in dealing with disability. "
"49","Governments should not try to do what can be better done by individuals, by communities, by voluntary organisations or by private enterprise, but should set about enabling people to help themselves."
"50","however governments should be ready to enter into partnership with these organisations to tackle the problems that neither it nor they can solve alone. "
"51","Decisions of Government should be taken democratically at the most local level compatible with effective action."
"52","Governments should learn to listen to the people to whom they are accountable."
"53","Governments should exercise the creative leadership to enable society as a whole to match its needs and resources with the work to be done - of which there is an abundance in Britain today."
"54","Government must challenge and curb all those who threaten individual freedom by the abuse of monopoly power, by the denial of rights or by crime and violence."
"55","It is the business of Government to act fairly in the pursuit of a united society, not to identify itself solely with any one section of society or region of the country."
"56","Government should take positive steps to ensure equal opportunities for women - who make up 52% of the population - and for minority groups such as the ethnic communities."
"57","Government must enable society to take the longer view, setting the right balance between present consumption and future investment and ensuring that economic development is sustainable and environmentally responsible."
"58","These values must also guide foreign policy, where the defence of the nation goes hand-in-hand with the promotion of peace and fairness in a world marked by severe inequality and injustice."
"59","We believe that Government at all levels can be more open, more accountable, more fair and more in tune with the wishes of the people of this country if it is allowed to break free of the two-party system and the old class conflict which that system feeds."
"60","Our country and its people deserve better, and here is how we believe it can be done."
"62","BETTER GOVERNMENT. Most of the problems facing our country cannot be solved unless we get better government."
"63","That means government which can carry the people with it in its major policies, and it means government which the citizens can call to account."
"64","Our system is currently failing in both respects, and it is getting worse."
"65","Under our proposals no government will be able to ride roughshod over the rights of its citizens."
"66","First, we insist that the voting system should be reformed so that no minority - which is what Mrs. Thatcher's Party was at the last election - is given an inflated Parliamentary majority."
"67","Fewer people voted Conservative at the last election than the one before, yet the system gave the absolute power of a massively increased majority to Mrs. Thatcher, and ensured that the House of Commons could be little more than a talking shop."
"68","No wonder Labour leaders join with the present Conservative leadership in wanting to keep the old system - they can see that it offers the only hope of inflicting on the nation policies which the majority of the people reject."
"69","The Alliance will introduce community proportional representation, using the well-tried single transferable vote system with constituencies based on local communities."
