"","sentence_text_new"
"3","1992 LIBERAL DEMOCRAT GENERAL ELECTION MANIFESTO. CHANGING BRITAIN FOR GOOD. Be warned: this manifesto may not be what you expect."
"4","This manifesto does not promise good times just around the corner."
"5","It does not avoid difficult questions out of fear of unpopularity."
"6","It simply tells the truth, the truth about what Liberal Democrats believe has to be done in order for Britain to succeed."
"7","If you want Britain to stay the same then you probably won't like this manifesto."
"8","But if you want real change, if you long for a better future for yourself, your family, your community and your country, then read on."
"9","Britain has a clear choice at this election."
"10","We can stay much as we are, in the same old muddle, with difficult decisions postponed."
"11","Our failure to adjust to the modern world will then become every more serious."
"12","We will lag further behind in creating and sharing wealth."
"13","More and more people will lose their jobs and homes."
"14","Our environment will go on deteriorating."
"15","Our public services, already second rate, will become even worse."
"16","We shall fail to get the best out of the European Community, because our leaders will continue to be afraid to tell us that shared success in the Community means sharing sovereignty too."
"17","Our system of politics will continue to foster confrontation and short-term thinking, and exclude ordinary citizens from the business of government."
"18","This manifesto offers a different choice for Britain."
"19","Liberal Democrats do not believe that our country's under-performance has to be accepted."
"20","Another forty years of failed government is not inevitable."
"21","Britain has many advantages: a wealth of natural resources"
"22"," a long history of engagement with the rest of the world"
"23"," a mature and inventive people who value tolerance and freedom."
"24","But Britain will only succeed when its political leaders start treating voters as informed citizens with shared concerns, not as ignorant consumers to be manipulated."
"25","Now is the time for change."
"26","That is why in this manifesto we set out a clear analysis of Britain's problems and our proposals for putting them right."
"27","Above all, Liberal Democrats will trust our fellow citizens with the truth."
"28","So this manifesto is different from others you may read."
"29","We are not afraid to say what needs to be said."
"30","We are not afraid to do what needs to be done."
"31","And we are clear that if we want to make a modern Britain, we must first change Britain."
"33","What Liberal Democrats stand for. Liberal Democrats put people first."
"34","We aim to create a society in which all men and women can realise their full potential and shape their own successes."
"35","We believe that if we could liberate this wealth of talent we would transform our economy and create a shared society of which we should all br proud."
"36","Liberal Democrats know that this cannot be achieved without fundamental reform."
"37","We must change our political system to give the citizen more power and the government less"
"38"," our economic system to confer power on consumers and to provide employees with a share in the wealth they create"
"39"," our public services to guarantee choice and dignity to each of us"
"40"," and our education system to equip us better for the modern world."
"41","Liberal Democrats recognise the importance of the things we own in private but we also know the value of what we hold in common."
"42","We believe that people are at their best as members of communities, where they care about each other and for those less fortunate than themselves."
"43","So our policies are designed to strengthen communities, tackle crime and poverty, build up the common wealth and improve the shared quality of life."
"44","In the economic sphere we know that the free market is the best guarantee of responsiveness to choice and change."
"45","But we believe the market should be our servant not our master."
"46","So we see the role of government as crucial in making the market work properly, by creating the conditions for success, promoting competition, breaking up monopolies and spreading information."
"47","And government has to be ready to make the investments which private enterprise will not, whether in transport, education or public works."
"48","Liberal Democrats know that we have a duty, not only to each other but to the generations which follow us, to protect the environment."
"49","We believe that this is best achieved not by making people poorer or less free but by building true environmental costs into the market so as to reward those who conserve and penalise those who pollute."
"50","Liberal Democrats are uncompromisingly internationalist."
"51","We know that there is a limit to what Britain can achieve alone and we are committed to building in the wider world the sort of society we strive for at home, founded on mutual cooperation, political liberty and shared prosperity."
"52","We have long been committed Europeans, believing that Britain can only be secure, successful and environmentally safe if we play our full part in building a more united and democratic Europe."
"53","Globally, Liberal Democrats will work to strengthen international cooperation."
"54","We reject outdated notions of national sovereignty, believing that they now stand in the way of common action to deal with the scourges of disease and hunger, the deterioration of the Earth's environment and the continuing dangers of the post-Cold War world."
"55","We believe that all government, whether local, national, or increasingly European, should be bound by the rights of the individual and should be fully accountable."
"56","Because Liberal Democrats alone understand that we shall not change Britain's future unless and until we change Britain's electoral system, we are committed to electoral and constitutional reform."
"57","We shall not rest until the government of Britain fully belongs to the citizens it is there to serve."
"59","Britain's balance sheet. In drawing up this manifesto, we have begun from where Britain is today."
"60","Like any good auditor, we have been realistic about national achievements and failures, about opportunities and problems."
"61","The result is a balance sheet which shows our country's strengths and weaknesses."
