"","sentence_text_new"
"4","The Labour Party manifesto 2005. Britain forward not back. Preface Tony Blair. New Labour's 2005 manifesto applies the unchanging values of our party to the new priorities of the British people."
"5","It is a plan to improve the lives of hardworking families and prepare our country for success in a fast-changing world."
"6","Our case rests on one idea more than any other - that it is the duty of government to provide opportunity and security for all in a changing world."
"7","Every chapter relates back to that goal: breaking down the barriers that stop people fulfilling their talent, extending opportunity to every corner of the United Kingdom, building communities strong and safe for those who play by the rules."
"8","On the firm foundations we have laid since 1997, our programme will embed a new progressive consensus in our country."
"9","This preface is my personal message."
"10","Eight years ago, I offered new leadership - fresh, idealistic, energetic, but untested."
"11","You voted for change and gave me the chance to serve."
"12","In our first term we banished the demons of ten per cent interest rates, mass unemployment, wages of £1.50 an hour, and outside toilets in our schools."
"13","We put Labour values into action."
"14","And we banished Labour demons too: we showed we could run the economy well, cut crime, and stand up for Britain abroad."
"15","We proved our competence."
"16","Four years ago, I said we needed to continue the modernisation of our economy, coupled with investment and reform to achieve change in public services."
"17","At the end of this second term we have delivered an unprecedented period of stability and growth, we have increased investment and we have embarked on a radical programme of reform to put the people themselves in the driving seat of our public services."
"18","We have made difficult decisions - about health policy, student finance, and secondary school reform."
"19","In the process we have proved our resilience."
"20","Now we go to the people not only having delivered on our promises, but also setting new and more ambitious goals for our public services and our country."
"22","But Britain can be better still. I know the change is possible."
"23","Not just because I have studied the sta-tistics, but because I have seen it with my own eyes, across the length  and breadth of the United Kingdom."
"24","I have spoken to NHS staff in Coventry, Edinburgh and Swansea, who tell me how  their new hospital and the new funding is letting them improve  care for their patients."
"25","I have heard teachers in Bexley, Middlesbrough and Sheffield tell me  how they no longer have to work in crumbling classrooms without books and computers - and pupils show me, with pride, round their sparkling new school."
"26","I have met youngsters in Blackpool and London whose lives have been transformed by the New Deal - once written off, they are now full of confidence and ambition."
"27","I've been to communities in Southampton and Darlington where the Sure Start programme is helping overcome disadvantage and seen for myself the remarkable revival of our great cities."
"28","I have met aid workers in Africa who tell me how this country is improving the lives of the poorest on our planet."
"29","These are not the fantasy of politicians."
"30","They are the stories of real life in our country and abroad."
"31","Not for everyone."
"32","Not everywhere."
"33","But for enough people and in enough places for us to know it is not a fluke."
"34","Personal prosperity and the good society"
"35"," the fruit of partnership between the British people and a government on their side."
"37"," Now we have to decide whether to go forward or back. I know the change is possible."
"38","Not just because I have studied the statistics, but because I have seen it with my own eyes, across the length and breadth of the United Kingdom."
"39","I have spoken to NHS staff in Coventry, Edinburgh and Swansea, who tell me how their new hospital and the new funding is letting them improve care for their patients."
"40","I have heard teachers in Bexley, Middlesbrough and Sheffield tell me how they no longer have to work in crumbling classrooms without 6 Britain is on the right track. "
"41","We will not change direction."
"42","Neither will we rest on our laurels."
"43","Our third-term opportunity is to build on the progress we have made."
"44","That progress, first as a party then in government began with the insight that the only way to advance decent progressive values was to develop a new policy agenda."
"45","Our understanding of the world and the great changes underway in our society led us to reject the false choices of the past."
"46","This is the foundation stone of new Labour."
"47","I believe that in our third term we can embed a new progressive consensus."
"48","One that reflects the mission of our movement, and the hopes and values of our people."
"49","And as much as the pursuit of this consensus represents an unprecedented opportunity for progressive politics, so it will be bitterly opposed by those who seek to take us back to the divisions of the past."
"50","In our third term we will forge an even stronger bond between the goals of economic progress and social justice."
"51","No going back to fiscal irresponsibility."
"52","No going back to a Conservative government that says mass unemployment is a price worth paying."
"53","Going forward instead to an opportunity economy, spreading prosperity through high employment and welfare reform, spreading opportunity through widening access to university and training, spreading ownership through the Child Trust Fund and expanding homeownership."
"54","In our third term we will make public services safe for a generation."
"55","No going back to one-size-fits-all monolithic services."
"56","No going back to the Tory years of cuts and privatisation."
"57","Going forward instead to services free to all, personal to each: breaking once and for all the dropout culture in education and the waiting-list culture in health, by raising investment and driving innovation through diversity of provision and power in the hands of the patient, the parent and the citizen."
"58","In our third term we will cement a new social contract with rights matched by responsibilities."
"59","No going back to `no such thing as society'."
"60","Going forward instead to power and resources in the hands of the law-abiding majority."
"61","A government committed both to abolishing child poverty and to putting the values of individual responsibility and duty at the very heart of policy."
"62","In our third term we will show that our national interest can only be pursued by engaging with the world's great challenges."
"63","No going back to a Britain marginalised and weak."
"64","Going forward to a stronger country in a safer, fairer world."
"65","Leading on Africa, leading on the environment, at the heart of Europe, working together to tackle terror and spread peace and justice."
"66","We do not duck the tough choices - from independence for the Bank of England to the tax rise we made for the NHS, to the war in Iraq."
"67","We made decisions because we believed them right - not because they were destined to be popular."
"68","But we refuse to accept false choices."
"69","The British people never wanted to choose between wealth creation and social justice."
"70","They never wanted to choose between national security and overseas aid."
"71","They never wanted to choose between equal rights and protection from crime."
"72","These are the false choices that landed us with economic decline and social division."
"73","The British people have the capacity to make this a great country."
"74","Our ideals are undimmed: extend opportunity to all, demand responsibility from all, secure justice for all."
"75","Our policies are refreshed: never has a governing party proposed a more wide-ranging programme of change for the country."
"76","Our vision is clear: a country more equal in its opportunities, more secure in its communities, more confident in its future."
"77","It is our social contract: we help you, you help yourself"
"78"," you benefit and the country benefits."
"79","So now, I fight my last election as Leader of my party and Prime Minister of our country."
"80","My call is a passionate one: let's together make irreversible the positive changes that are happening in our country."
"81","Let's make the values of social justice and a fair deal for all the governing ideal of our country not just for some time but for all time."
"82","People freed from barriers of class, building a better future for themselves and for the country."
"83","Self-interest and national interest together."
"86","Prosperity for all. New Labour's record: The contract delivered. Our country is changing for the better, because we fulfilled the promises of our 1997 and 2001 manifestos."
"87","Here is what has changed."
"88","Britain now has a stable, growing economy with the lowest inflation since the 1960s."
"89","Since 1997, two million more people are in work, and the UK has the lowest unemployment for 30 years."
"90","Tax credits and the minimum wage are ensuring that work pays for everyone."
"91","Because of this we are saving £5 billion a year on the costs of unemployment - that's £84 for every citizen in Britain - money that is being invested in frontline services such as schools and hospitals."
"92","There are over one million more homeowners, saving on average nearly £4,000 a year, thanks to the lowest mortgage rates for 40 years."
"93","Since 1997, average incomes have increased by 19 per cent and the income of a typical family has increased by 17 per cent, with living standards rising in double digits for every part of the income spectrum."
"94","There are 300,000 more businesses, providing jobs and increased prosperity."
"95","There are two million fewer children and nearly two million fewer pensioners living in absolute poverty."
"97"," World-class public services. Investment in public services is up - an extra £1,000 per pupil per year in real terms since 1997, and spending on the NHS has more than doubled to £69 billion."
"98","There are over 28,000 more teachers and 105,000 extra teaching assistants and support staff."
"99","The National Health Service now has 79,000 more nurses and over 27,000 more doctors."
"100","And public servants - from nurses to police officers - are better rewarded for their work."
"101","Our ten-year-old pupils are ranked third best in the world in literacy and are the fastest improving in numeracy."
"102","Since the introduction of free entry, visits to our national museums and galleries have risen by 75 per cent."
"103","Deaths from heart disease are down by 27 per cent and cancer deaths are down by 12 per cent."
"105","Strong and safe communities. Crime has fallen by 30 per cent overall, with almost five million fewer crimes a year than in 1997."
"106","There are record numbers of police, nearly 13,000 more, assisted by 4,600 new Community Support Officers."
"107","New powers to tackle anti-social behaviour have been introduced, with nearly 4,000 Anti-Social Behaviour Orders issued so far and nearly 66,000 fixed penalty notices."
"108","We have halved the time from arrest to sentencing for persistent young offenders."
"109","More than 80 per cent of initial decisions on asylum claims are now processed in two months."
"111","A modern welfare state. Thanks to our New Deal, long-term youth unemployment has been virtually eradicated, with over half a million young people helped into work."
"112","By October 2005, families with children will be on average £1,400 a year better off as a result of our tax and benefit measures compared to 1997."
"113","Thanks to our reforms pensioner households are on average £1,500 a year better off, rising to £2,000 for the poorest third."
