"sentenceid","sentence_text","policy_area_gold","econ_scale_gold","soc_scale_gold","_golden","pre_sentence","post_sentence","policy_area_gold_reason","codesneeded","econ_scale_gold_min","econ_scale_gold_max","soc_scale_gold_min","soc_scale_gold_max"
"60009191","We will ensure that these are properly enforced.",,,,,"All applications, however, should be dealt with speedily and fairly. There are, rightly, criteria for those who want to enter this country to join husband or wife.","We will, however, reform the system in current use to remove the arbitrary and unfair results that can follow from the existing 'primary purpose' rule. There will be a streamlined system of appeals for visitors denied a visa.",,14,,,,
"50005091","We will give Community Health Councils improved rights to consultation and greater access to information and meetings.",,,,,"We will open up meetings of NHS Trust boards to the public and press, and give local people, staff and professionals speaking rights. We will guarantee direct representation from the staff of each Trust.","Give the public more say in setting priorities within the NHS. Difficult choices about priorities must be faced, they cannot be left to bureaucrats and health professionals alone.",,10,,,,
"60005301","Fresh parliamentary vote to ban all handguns",,,,,"Police on the beat not pushing paper  Crackdown on petty crimes and neighbourhood disorder ","Under the Conservatives, crime has doubled and many more criminals get away with their crimes: the number of people convicted has fallen by a third, with only one crime in 50 leading to a conviction. This is the worst record of any government since the Second World War - and for England and Wales the worst record of any major industrialised country.",,15,,,,
"60001201","They are real.",,,,,"We therefore set out in the manifesto that follows ten commitments, commitments that form our bond of trust with the people. They are specific.","Judge us on them. Have trust in us and we will repay that trust.",,10,,,,
"30004091","The incoming Labour government will maintain that record of effective defence whilst working to lower international tension, fear and distrust.",,,,,"At the same time, Labour has always linked necessary defence with the need to reduce hostility between East and West. We must be alert in protecting our country and equally alert in helping to keep away the scourge of war and nuclear destruction.","Labour's defence policy is based squarely and firmly on Britain's membership of NATO. We are determined to make the most useful possible contribution to the alliance.",,10,,,,
"60004221","We support too the Social Chapter of the EU, but will deploy our influence in Europe to ensure that it develops so as to promote employability and competitiveness, not inflexibility.",,,,,"Government should welcome this. We are keen to encourage a variety of forms of partnership and enterprise, spreading ownership and encouraging more employees to become owners through Employee Share Ownership Plans and co-operatives.","A sensibly set national minimum wage. There should be a statutory level beneath which pay should not fall - with the minimum wage decided not on the basis of a rigid formula but according to the economic circumstances of the time and with the advice of an independent low pay commission, whose membership will include representatives of employers, including small business, and employees. Every modern industrial country has a minimum wage, including the US and Japan.",,10,,,,
"30000601","The Priority Programme. For our first two years in government we will concentrate resources on the essential tasks of combating unemployment and poverty.",,,,,"Britain will win with a Labour government that invests to enable people to use their abilities and to stimulate modern training, research, development, production and marketing. These are the ingredients of economic vitality, and the foundations of fairness.","In the course of that action, we will strengthen the health, housing, education, social services and crime-fighting services that are vital to social and economic well-being, and begin to rebuild our manufacturing industry. Clearly, all other programmes that require substantial public finance must take lower priority in terms of timescale and public resources.",,10,,,,
"30001421","We have huge reserves of coal which will last for centuries.",,,,,"A Sensible Energy Policy. Efficiency in industry and security in the community both depend on reliable and safe supplies of energy available at acceptable cost. Britain's oil reserves have a limited life.","Labour's co-ordinated energy programme will ensure the most sensible use of our reserves while protecting our environ ment and stimulating employment. Labour will initiate a major energy conservation programme and ensure that Britain develops the full potential of its coal, oil and gas resources, whilst gradually diminishing Britain's dependence upon nuclear energy.",,10,,,,
"20000011","We know that it is possible to unite our country.",,,,,"LIBERAL-SDP ALLIANCE: 1987. Britain United: The Time Has Come. FOREWARD: BRITAIN UNITED. The Alliance's vision is of a Britain united, a Britain confident, compassionate and competitive.","We know the British people want greater unity. But we also know the task of drawing Britain together again can only be achieved through political, economic and social reform on a scale not contemplated in our country for over forty years.",,10,,,,
"30001761","We shall see that all women have the chance to see a woman doctor if they choose.",,,,,"Women's health care has been seriously neglected. Our Charter for Womens' Health will include a network of Well-Women Clinics, and a computerised call and recall screening system as a universal service for all women at risk of cervical and breast cancer.","We will step up the fight against AIDS by increasing research resources to find a vaccine or cure and also ensure adequate resources for the supply of drugs capable of arresting the affliction. We will improve outpatient and emergency facilities and ambulance services and repair and build hospitals.",,10,,,,
