sentenceid,speechno,language,_golden,subsidy_scale,subsidy_scale_gold,subsidy_scale_gold_reason,screener,sentence_text,pre_sentence,post_sentence
1001,1,DE,,,,,FALSE,"Frau Präsidentin, liebe Kolleginnen und Kollegen, Herr Kommissar Almunia! Herr Kommissar, zu erst einmal ein Lob an Sie und Ihre Dienststellen.",,"Sie haben ein gutes impact assessment vorgelegt. Eine Folgenabschätzung, die auf Fakten beruht, die schlüssig ist und die auf den Punkt kommt."
1002,1,DE,,,,,FALSE,Sie haben ein gutes impact assessment vorgelegt.,"Frau Präsidentin, liebe Kolleginnen und Kollegen, Herr Kommissar Almunia! Herr Kommissar, zu erst einmal ein Lob an Sie und Ihre Dienststellen.","Eine Folgenabschätzung, die auf Fakten beruht, die schlüssig ist und die auf den Punkt kommt. Schade ist nur, dass die anderen im Kommissionskollegium dieses impact assessment nicht gelesen haben."
1003,1,DE,,,,,FALSE,"Eine Folgenabschätzung, die auf Fakten beruht, die schlüssig ist und die auf den Punkt kommt.","Frau Präsidentin, liebe Kolleginnen und Kollegen, Herr Kommissar Almunia! Herr Kommissar, zu erst einmal ein Lob an Sie und Ihre Dienststellen. Sie haben ein gutes impact assessment vorgelegt.","Schade ist nur, dass die anderen im Kommissionskollegium dieses impact assessment nicht gelesen haben. Denn wenn sie es gelesen hätten, hätten sie diesen Vorschlag nicht vorlegen können."
1004,1,DE,,,,,FALSE,"Schade ist nur, dass die anderen im Kommissionskollegium dieses impact assessment nicht gelesen haben.","Sie haben ein gutes impact assessment vorgelegt. Eine Folgenabschätzung, die auf Fakten beruht, die schlüssig ist und die auf den Punkt kommt.","Denn wenn sie es gelesen hätten, hätten sie diesen Vorschlag nicht vorlegen können. Denn er hat mit dem impact assessment nun überhaupt nichts zu tun."
1005,1,DE,,,,,FALSE,"Denn wenn sie es gelesen hätten, hätten sie diesen Vorschlag nicht vorlegen können.","Eine Folgenabschätzung, die auf Fakten beruht, die schlüssig ist und die auf den Punkt kommt. Schade ist nur, dass die anderen im Kommissionskollegium dieses impact assessment nicht gelesen haben.","Denn er hat mit dem impact assessment nun überhaupt nichts zu tun. Man fragt sich, wie das Kommissionskollegium beispielsweise auf das Jahr kommt."
1006,1,DE,,,,,FALSE,Denn er hat mit dem impact assessment nun überhaupt nichts zu tun.,"Schade ist nur, dass die anderen im Kommissionskollegium dieses impact assessment nicht gelesen haben. Denn wenn sie es gelesen hätten, hätten sie diesen Vorschlag nicht vorlegen können.","Man fragt sich, wie das Kommissionskollegium beispielsweise auf das Jahr kommt. Es gibt dafür in dem impact assessment keinen einzigen Beleg."
1007,1,DE,,,,,FALSE,"Man fragt sich, wie das Kommissionskollegium beispielsweise auf das Jahr kommt.","Denn wenn sie es gelesen hätten, hätten sie diesen Vorschlag nicht vorlegen können. Denn er hat mit dem impact assessment nun überhaupt nichts zu tun.","Es gibt dafür in dem impact assessment keinen einzigen Beleg. Das einzige, was vielleicht dafür spricht, ist, dass 2014 gerade auf der Halbzeit zwischen 2010 und 2018 ist."
1008,1,DE,,,,,FALSE,Es gibt dafür in dem impact assessment keinen einzigen Beleg.,"Denn er hat mit dem impact assessment nun überhaupt nichts zu tun. Man fragt sich, wie das Kommissionskollegium beispielsweise auf das Jahr kommt.","Das einzige, was vielleicht dafür spricht, ist, dass 2014 gerade auf der Halbzeit zwischen 2010 und 2018 ist. Mehr nicht! Aber möglicherweise haben sie den Inhalt auch nicht verstanden."
1009,1,DE,,,,,FALSE,"Das einzige, was vielleicht dafür spricht, ist, dass 2014 gerade auf der Halbzeit zwischen 2010 und 2018 ist.","Man fragt sich, wie das Kommissionskollegium beispielsweise auf das Jahr kommt. Es gibt dafür in dem impact assessment keinen einzigen Beleg.","Mehr nicht! Aber möglicherweise haben sie den Inhalt auch nicht verstanden. Alles was an Argumenten für diese Vorlage spricht oder gesprochen haben soll, kann nicht ernsthaft in Erwägung gezogen werden, weil die Argumente nicht stimmen."
1010,1,DE,,,,,FALSE,Mehr nicht! Aber möglicherweise haben sie den Inhalt auch nicht verstanden.,"Es gibt dafür in dem impact assessment keinen einzigen Beleg. Das einzige, was vielleicht dafür spricht, ist, dass 2014 gerade auf der Halbzeit zwischen 2010 und 2018 ist.","Alles was an Argumenten für diese Vorlage spricht oder gesprochen haben soll, kann nicht ernsthaft in Erwägung gezogen werden, weil die Argumente nicht stimmen. Da gibt es das Argument, die 2002 verabschiedete Beihilferegelung, die jetzt ausläuft, wäre eine Auslaufregelung für den Steinkohlebergbau insgesamt."
1011,1,DE,,,,,FALSE,"Alles was an Argumenten für diese Vorlage spricht oder gesprochen haben soll, kann nicht ernsthaft in Erwägung gezogen werden, weil die Argumente nicht stimmen.","Das einzige, was vielleicht dafür spricht, ist, dass 2014 gerade auf der Halbzeit zwischen 2010 und 2018 ist. Mehr nicht! Aber möglicherweise haben sie den Inhalt auch nicht verstanden.","Da gibt es das Argument, die 2002 verabschiedete Beihilferegelung, die jetzt ausläuft, wäre eine Auslaufregelung für den Steinkohlebergbau insgesamt. Das stimmt natürlich mitnichten."
