"sentenceid","speechno","language","_golden","subsidy_scale","subsidy_scale_gold","subsidy_scale_gold_reason","screener","sentence_text","pre_sentence","post_sentence"
1001,1,"EN","","","","",FALSE,"Madam President, Mr Almunia, ladies and gentlemen, firstly, I would like to congratulate you, Mr Almunia, and your offices.","","The impact assessment that you have presented is very good. It is based on facts, it is conclusive and it gets to the point."
1002,1,"EN","","","","",FALSE,"The impact assessment that you have presented is very good.","Madam President, Mr Almunia, ladies and gentlemen, firstly, I would like to congratulate you, Mr Almunia, and your offices.","It is based on facts, it is conclusive and it gets to the point. It is a pity that the other members of the College of Commissioners have not read this impact assessment, because if they had read it, they would not have been able to present this proposal, which has nothing at all to do with the impact assessment."
1003,1,"EN","","","","",FALSE,"It is based on facts, it is conclusive and it gets to the point.","Madam President, Mr Almunia, ladies and gentlemen, firstly, I would like to congratulate you, Mr Almunia, and your offices. The impact assessment that you have presented is very good.","It is a pity that the other members of the College of Commissioners have not read this impact assessment, because if they had read it, they would not have been able to present this proposal, which has nothing at all to do with the impact assessment. I wonder how the College of Commissioners picked the year, for example."
1004,1,"EN","","","","",FALSE,"It is a pity that the other members of the College of Commissioners have not read this impact assessment, because if they had read it, they would not have been able to present this proposal, which has nothing at all to do with the impact assessment.","The impact assessment that you have presented is very good. It is based on facts, it is conclusive and it gets to the point.","I wonder how the College of Commissioners picked the year, for example. There is absolutely no mention of this in the impact assessment."
1005,1,"EN","","","","",FALSE,"I wonder how the College of Commissioners picked the year, for example.","It is based on facts, it is conclusive and it gets to the point. It is a pity that the other members of the College of Commissioners have not read this impact assessment, because if they had read it, they would not have been able to present this proposal, which has nothing at all to do with the impact assessment.","There is absolutely no mention of this in the impact assessment. The only thing which might explain it is that 2014 is exactly halfway between 2010 and 2018."
1006,1,"EN","","","","",FALSE,"There is absolutely no mention of this in the impact assessment.","It is a pity that the other members of the College of Commissioners have not read this impact assessment, because if they had read it, they would not have been able to present this proposal, which has nothing at all to do with the impact assessment. I wonder how the College of Commissioners picked the year, for example.","The only thing which might explain it is that 2014 is exactly halfway between 2010 and 2018. That is what it must be."
1007,1,"EN","","","","",FALSE,"The only thing which might explain it is that 2014 is exactly halfway between 2010 and 2018.","I wonder how the College of Commissioners picked the year, for example. There is absolutely no mention of this in the impact assessment.","That is what it must be. However, it may be that they have also not understood the content."
1008,1,"EN","","","","",FALSE,"That is what it must be.","There is absolutely no mention of this in the impact assessment. The only thing which might explain it is that 2014 is exactly halfway between 2010 and 2018.","However, it may be that they have also not understood the content. None of the arguments in favour of this proposal can be seriously considered because they are not correct."
1009,1,"EN","","","","",FALSE,"However, it may be that they have also not understood the content.","The only thing which might explain it is that 2014 is exactly halfway between 2010 and 2018. That is what it must be.","None of the arguments in favour of this proposal can be seriously considered because they are not correct. There is the argument that the State aid scheme adopted in 2002, which is about to expire, was a phasing out arrangement for coal mining."
1010,1,"EN","","","","",FALSE,"None of the arguments in favour of this proposal can be seriously considered because they are not correct.","That is what it must be. However, it may be that they have also not understood the content.","There is the argument that the State aid scheme adopted in 2002, which is about to expire, was a phasing out arrangement for coal mining. Of course, this is totally incorrect."
