sentenceid,speechno,language,_golden,subsidy_scale_gold,subsidy_scale_gold_reason,screener,sentence_text,pre_sentence,post_sentence
1,0,EN,TRUE,-1,"This sentence is anti-subsidy because it condemns the previous extension of state aid to unprofitable mines, and cites harm to competitiveness as a result.",FALSE,"However, the previous laws supporting the unprofitable mines, rather than helping them to become profitable, instead encouraged continued waste and uncompetitiveness.","Firstly, the proposal to grant operating aid or investment in order to make the mines competitive. There was already a similar provision in the previous regulation concerning aid to the sector.","The mines were subsidised in the vain hope of achieving profitability. Now we have to deal with the consequences: we need to extend this special system for coal production because the mines concerned have not achieved profitability, nor have they been closed."
2,0,EN,TRUE,-1,This sentence is a blanket statement criticizing state aid.,FALSE,State aid undermines competitiveness.,That is whe we consider it to be necessary to phase out subsidies. Part 2 of our proposal mentions this point.,"Therefore, the treaty contains provisions for declaring it incompatible in a whole range of cases. Operating aid can only be authorised if it is likely to have positive effects."
3,0,EN,TRUE,-1,This statement criticizes state aid and cites the need to be competitive instead of propping up unprofitable activities.,FALSE,The mining industry needs to be competitive and subsidising it undermines this objective.,"Madam President, Mr Almunia, ladies and gentlemen, no one disputes the fact that coal is an important part of our energy supply.",The question now is whether 2014 or 2018 is the right deadline. Mr Rapkay put forward a number of intelligent arguments which I will not repeat.
4,0,EN,TRUE,-1,"This statement attacks subsidies being economically unsustainable,  as well as environmentally undesirable.",FALSE,We must remember that continuing to keep these unprofitable coal mines alive defeats this purpose.,"Madam President, ladies and gentlemen, our party has no objection to public funds being invested, provided that they manage our transition to productivity and profitability.","It props up an industry that is not sustainable either economically - otherwise it would not need subsidies - or environmentally. As Mrs in ’t Veld emphasised just now, for several decades, the coal industry has been calling for this transition to be extended, with no end in sight."
5,0,EN,TRUE,-1,This is a skeptical (negative) statement about continuing subsidies.,FALSE,"In light of this, I have serious doubts about the intention now to extend the state subsidies for unprofitable coal mines.","We must have a goal when it comes to the automotive industry, the engineering industry and the medical industry. In order to be successful we need to transform our economy to enable it to meet the demands of modern competition and the global economy.","It will mean that, at state level, we will be tying up money in undertakings which are not profitable and ultimately unable to support jobs. "
6,0,EN,TRUE,-1,"This statement argues that further extension of state aid is undesirable, and promotes ending them sooner rather than later..",FALSE,"Madam President, Mr Almunia, we need to swallow the bitter pill now, rather than endure decades more of uncompetitive sickness.",,This is why I support the Commission proposal to phase out State aid in 2014 for the pits which are not competitive by that date.
7,0,EN,TRUE,-1,"This statement is part of an argument that unprofitable mines are blocking a move to more competitiveness, and that continuing state aid simply hinders the inevtiable closures of the unprofitable mines.",FALSE,"European coal mines will, sooner or later, have to adapt to change.",Globalisation means that there will be significant price pressures on coal.,Continued state aid to mines that are not profitable only slows this process of adaptation and hinders our ability to make necessary changes.
8,0,EN,TRUE,-1,"This statement argues that further extension of state aid is undesirable, and promotes ending them sooner rather than later..",FALSE,Unprofitable industries must not be kept on a life support machine forever.,"Production will transfer to countries where labour is cheaper and the areas in the EU where coal is produced will see jobs and income drain away, as mines can no longer respond to the competition. Although this is an unwelcome development, the actions of the authorities cannot conflict with the basic principles of the market economy.",We must remember that structural change on this scale will inevitably have far­reaching and dramatic social consequences. 
9,0,EN,TRUE,-1,"This statement condemns artificial support to uncompetitive industries, and argues for an end to state aid sooner rather than later.",FALSE,We would be taking measures directly counter to the spirit of competition and efficiency if the Parliament were to allow the Member States to squander billions on its coal mines.,"Despite all the fine speeches on climate, Europe will still be clinging onto its coal­black past by adopting this report. Under the Europe 2020 strategy, the EU would like to move swiftly towards a low emissions future based on renewable forms of energy.","The current rules on aid would have expired in December, but in the Commission’s proposals, they would be extended until 2014. The coal­black gloom is intensified by the fact that Parliament wants the rules on aid to be extended all the way to 2018. Two years ago, aid from the EU Member States to industry that produced and used hard coal, that is to say, anthracite, was as much as EUR 2.9 billion. That only shows that there is still many times more aid for fossil fuels than there is for renewable energy sources, and this despite the fact that our targets on climate would call for just the opposite policy."
10,0,EN,TRUE,-1,"This statement is anti-subsidy because it supports the Commission proposal to phase them out by 2014, rather than extending them to 2018 or beyond.",FALSE,We should support the Commission’s proposal.,"It will also mean that the transformation we need in order to be able to become truly competitive will be slower. It will mean that we fail to develop within other areas and also that, in a few years time, people will still be employed in industries that do not offer long-term security and the opportunity to make a living, and those regions that we are now talking about will still remain dependent on coal mining in what are unprofitable coal mines.",
