"sentenceid","speechno","language","_golden","subsidy_scale","subsidy_scale_gold","subsidy_scale_gold_reason","screener","sentence_text","pre_sentence","post_sentence"
1001,1,"ES","","","","",FALSE,"Señora Presidenta, señor Almunia, Señorías, en primer lugar, quisiera transmitir mi agradecimiento tanto a usted, señor Almunia, como a sus servicios.","","La evaluación de impacto que han presentado es muy buena. Se basa en hechos, es concluyente y va al grano."
1002,1,"ES","","","","",FALSE,"La evaluación de impacto que han presentado es muy buena.","Señora Presidenta, señor Almunia, Señorías, en primer lugar, quisiera transmitir mi agradecimiento tanto a usted, señor Almunia, como a sus servicios.","Se basa en hechos, es concluyente y va al grano. Es una pena que los demás miembros del Colegio de Comisarios no hayan leído esta evaluación de impacto, porque, de haberlo hecho, no hubieran podido presentar esta propuesta, que no tiene nada que ver con la evaluación de impacto."
1003,1,"ES","","","","",FALSE,"Se basa en hechos, es concluyente y va al grano.","Señora Presidenta, señor Almunia, Señorías, en primer lugar, quisiera transmitir mi agradecimiento tanto a usted, señor Almunia, como a sus servicios. La evaluación de impacto que han presentado es muy buena.","Es una pena que los demás miembros del Colegio de Comisarios no hayan leído esta evaluación de impacto, porque, de haberlo hecho, no hubieran podido presentar esta propuesta, que no tiene nada que ver con la evaluación de impacto. Me pregunto cómo ha elegido el año el Colegio de Comisarios, por ejemplo."
1004,1,"ES","","","","",FALSE,"Es una pena que los demás miembros del Colegio de Comisarios no hayan leído esta evaluación de impacto, porque, de haberlo hecho, no hubieran podido presentar esta propuesta, que no tiene nada que ver con la evaluación de impacto.","La evaluación de impacto que han presentado es muy buena. Se basa en hechos, es concluyente y va al grano.","Me pregunto cómo ha elegido el año el Colegio de Comisarios, por ejemplo. No se menciona absolutamente nada de esto en la evaluación de impacto."
1005,1,"ES","","","","",FALSE,"Me pregunto cómo ha elegido el año el Colegio de Comisarios, por ejemplo.","Se basa en hechos, es concluyente y va al grano. Es una pena que los demás miembros del Colegio de Comisarios no hayan leído esta evaluación de impacto, porque, de haberlo hecho, no hubieran podido presentar esta propuesta, que no tiene nada que ver con la evaluación de impacto.","No se menciona absolutamente nada de esto en la evaluación de impacto. Lo único que podría explicarlo es que 2014 se encuentra exactamente en la mitad entre 2010 y 2018."
1006,1,"ES","","","","",FALSE,"No se menciona absolutamente nada de esto en la evaluación de impacto.","Es una pena que los demás miembros del Colegio de Comisarios no hayan leído esta evaluación de impacto, porque, de haberlo hecho, no hubieran podido presentar esta propuesta, que no tiene nada que ver con la evaluación de impacto. Me pregunto cómo ha elegido el año el Colegio de Comisarios, por ejemplo.","Lo único que podría explicarlo es que 2014 se encuentra exactamente en la mitad entre 2010 y 2018. Eso es lo que debe ser."
1007,1,"ES","","","","",FALSE,"Lo único que podría explicarlo es que 2014 se encuentra exactamente en la mitad entre 2010 y 2018.","Me pregunto cómo ha elegido el año el Colegio de Comisarios, por ejemplo. No se menciona absolutamente nada de esto en la evaluación de impacto.","Eso es lo que debe ser. Sin embargo, puede ser que tampoco hayan entendido el contenido."
1008,1,"ES","","","","",FALSE,"Eso es lo que debe ser.","No se menciona absolutamente nada de esto en la evaluación de impacto. Lo único que podría explicarlo es que 2014 se encuentra exactamente en la mitad entre 2010 y 2018.","Sin embargo, puede ser que tampoco hayan entendido el contenido. Ninguno de los argumentos a favor de esta propuesta puede considerarse con seriedad, pues no son correctos."
1009,1,"ES","","","","",FALSE,"Sin embargo, puede ser que tampoco hayan entendido el contenido.","Lo único que podría explicarlo es que 2014 se encuentra exactamente en la mitad entre 2010 y 2018. Eso es lo que debe ser.","Ninguno de los argumentos a favor de esta propuesta puede considerarse con seriedad, pues no son correctos. Existe el argumento de que el régimen de ayuda estatal adoptado en 2002, que está a punto de expirar, fue un acuerdo para la eliminación gradual de las minas de carbón."
1010,1,"ES","","","","",FALSE,"Ninguno de los argumentos a favor de esta propuesta puede considerarse con seriedad, pues no son correctos.","Eso es lo que debe ser. Sin embargo, puede ser que tampoco hayan entendido el contenido.","Existe el argumento de que el régimen de ayuda estatal adoptado en 2002, que está a punto de expirar, fue un acuerdo para la eliminación gradual de las minas de carbón. Por supuesto, esto es totalmente incorrecto."
