sentenceid,speechno,language,_golden,subsidy_scale,subsidy_scale_gold,subsidy_scale_gold_reason,screener,sentence_text,pre_sentence,post_sentence
1,0,ES,TRUE,,-1,Esta frase es anti-subvención ya que condena la extensión previa del subsidio estatal a minas no competitivas y cita el daño a la competitividad como resultado.  ,FALSE,"Sin embargo, las leyes anteriores que apoyaban a las minas no competitivas, el lugar de ayudarlas a convertirse en minas rentables las alentaba a continuar con el desperdicio y la baja competitividad. "," En primer lugar, la propuesta de garantizar ayuda para las operaciones o la inversión, con la finalidad de que las minas se volvieran competitivas. En previas regulaciones ya había una previsión similar el lo concerniente a la ayuda para el sector.  ",Las minas estaban subsidiadas con la vana esperanza de que se volvieran rentables. Ahora tenemos que tratar con las consecuencias: necesitamos extender este sistema especial de producción de carbon ya que las minas que nos preocupan no se han vuelto competitivas.
2,0,ES,TRUE,,-1,.Esta frase es una declaración general en criticando la ayuda estatal. ,FALSE,La ayuda estatal socava la competitividad. , Es por ello que consideramos necesaria la eliminación de los subsidios. La segunda parte de nuestra propuesta menciona este punto. ,"Por ello, el tratado contiene provisiones para declararlo incompatible en un amplio rango de casos. Ayuda para la operación solo pude ser autorizada si tiene probables efectos positivos. "
3,0,ES,TRUE,,-1,Esta frase critica la ayuda estatal y cita la necesidad de ser competitivo en lugar de apuntalar actividades que no son rentables. ,FALSE,La industria minera necesita ser competitiva y subsidiarla socava este objetivo. ,".Señora Presidenta, Sr Almunia, damas y caballeros, nadie disputa el hecho de que el carbón es una parte fundamental para nuestro suministro de energía. ","La cuestión es ahora si el plazo correcto es 2014 o 2018. Mr. Rapkay ha presentado varios argumentos inteligentes, que no repetiré. "
4,0,ES,TRUE,,-1,Esta frase ataca los subsidios por no ser economicamente sostenibles y medioambientalmente no deseables. ,FALSE,Debemos de recordar que continuar manteniendo vivas las minas de carbón no competitivas frustra este objetivo. ,"Señora Presidenta, damas y caballeros, nuestro partido no tiene objeción a invertir recursos públicos, si ellos nos llevan a la productividad y rentabilidad. "," Se perfila una industria que no es sostenible, ni económicamente  -de otra forma no necesitaría subsidios- ni medioambeintalmente. Tal como la Señora in´t Veld enfatizó justo ahora, por varias décadas, la industria del carbón ha llamado para que esta transición fuera extendida, sin un fin a la vista. "
5,0,ES,TRUE,,-1,Este es una frase escéptica (negativa) sobre continuar los subsidios. ,FALSE,"En vista de lo anterior, tengo serias dudas a cerca de las intenciones de extender el subsidio estatal para minas de carbón no competititvas. ","Debemos de tener un objetivo en cuanto a la industria automovilística, la industria de ingeniería y la industria medica. Para ser exitosos debemos transformar nuestra economía para permitirle alcanzar las demandas de la competencia moderna y la economía global. ","Esto significa que, en el ámbito estatal, se destina dinero para empresas que no son rentables y en última instancia, no se puede apoyar empleos"
6,0,ES,TRUE,,-1,Esta frase argumenta que extender la ayuda del estado no es deseable y promueve terminarla más temprano que tarde. ,FALSE,"Señora Presidenta, Mr Almunia, necesitamos pasar el trago amargo ahora en lugar de durar décadas sufriendo por falta de competitividad. ",,Es por eso que apoyo la propuesta de la Comisión para eliminar las ayudas de Estado a los pozos que no sean competitivos en el año 2014 
7,0,ES,TRUE,,-1,Esta declaración es parte del argumento de que las minas no competitivas bloquean la transición a mayor competitividad y que continuar con la ayuda estatal simplemente obstaculiza el cierre inevitable de las minas no competitivas. ,FALSE,"Las minas de carbon Europeas tarde o temprano, tienen que adaptarse al cambio. ",Globalisation means that there will be significant price pressures on coal.,Continued state aid to mines that are not profitable only slows this process of adaptation and hinders our ability to make necessary changes.
8,0,ES,TRUE,,-1,".Esta frase argumenta que extender la ayuda estatal no es deseable y promueve terminarla, entre antes mejor, ",FALSE,Las industrias no rentables no deben mantenerse con vida de forma artificial para siempre. ,"La produción se trasladará a paises donde la mano de obra es más barata y las áreas de la UE donde el carbón se produce verán drenados empleos e ingresos, ya que las minas no pueden responder a la competencia. Aún siendo esta una consequencia no deseable, las acciones de las authoridades no pueden estar en conflicto con el principio básico de la economía de mercado.  ",Debemos recordar que el cambio estrucutral a esta escala tendrá inevitablemente consecuencias sociales dramáticas y de largo alcance. 
9,0,ES,TRUE,,-1,"Esta frase condena el soporte artificial a minas no competitivas y argumenta que es mejor terminar con la ayuda estatal, entre antes mejor.",FALSE,Estaríamos tomando medidas directamente en contra del espíritu de la competencia y la eficiencia si el Parlamento permitiera a los Estados miembros que derrochan miles de millones en sus minas de carbón.,"A pesar de todos los bellos discursos sobre el clima, Europa todavía se aferra a su pasado negro como el carbón mediante la adopción de esta reforma.  En virtud de la Estrategia Europa 2020, la UE desea avanzar rápidamente hacia un futuro de bajas emisiones en base a  formas de energía renovables.","Las normas actuales sobre las ayudas habrían expirado en diciembre, pero  la Comisión propone extenderlas hasta 2014. El pesimismo negro como el carbón, se intensifica por el hecho de que el Parlamento quiere que las normas relativas a las ayudas se extiendan hasta 2018. Hace dos años, la ayuda de los Estados miembros de la UE a la industria que produce y utiliza carbón duro, es decir, antracita, llegaba a los 2,9 mm de euros. Eso sólo demuestra que hay todavía mucha más ayuda a los combustibles fósiles que para las fuentes de energía renovables, y esto a pesar del hecho de que nuestros objetivos sobre el clima exigen lo opuesto. "
10,0,ES,TRUE,,-1,"Esta declaración es anti-subvención, ya que apoya la propuesta de la Comisión para eliminar los subsidios gradualmente en 2014, en lugar de extenderlos a 2018 o más tarde.",FALSE,Debemos apoyar la propuesta de la Comisión.,"También significa que la transformación que necesitamos a fin de poder llegar a ser verdaderamente competitivos será más lenta. Esto significará que no seremos capaces de desarrollar otras áreas y también que, dentro de unos años, la gente todavía será empleada en industrias que no ofrecen seguridad a largo plazo y la oportunidad de ganarse la vida, y las regiones permanecerán dependientes de la minería del carbón en minas de carbón no rentables.",
