"sentenceid","speechno","language","_golden","subsidy_scale","subsidy_scale_gold","subsidy_scale_gold_reason","screener","sentence_text","pre_sentence","post_sentence"
1001,1,"FR","","","","",FALSE,"Madame la Présidente, Monsieur le Commissaire Almunia, Mesdames et Messieurs, tout d’abord, je voudrais vous féliciter, Monsieur Almunia, ainsi que vos services.","","L’évaluation d’impact que vous avez présentée est excellente. Elle est basée sur des faits, elle est concluante et va droit au but."
1002,1,"FR","","","","",FALSE,"L’évaluation d’impact que vous avez présentée est excellente.","Madame la Présidente, Monsieur le Commissaire Almunia, Mesdames et Messieurs, tout d’abord, je voudrais vous féliciter, Monsieur Almunia, ainsi que vos services.","Elle est basée sur des faits, elle est concluante et va droit au but. Il est regrettable que les autres membres du collège des commissaires n’aient pas lu cette évaluation d’impact parce que, s’ils l’avaient lue, ils n’auraient pas pu présenter cette proposition, qui n’a absolument rien à voir avec l’évaluation d’impact."
1003,1,"FR","","","","",FALSE,"Elle est basée sur des faits, elle est concluante et va droit au but.","Madame la Présidente, Monsieur le Commissaire Almunia, Mesdames et Messieurs, tout d’abord, je voudrais vous féliciter, Monsieur Almunia, ainsi que vos services. L’évaluation d’impact que vous avez présentée est excellente.","Il est regrettable que les autres membres du collège des commissaires n’aient pas lu cette évaluation d’impact parce que, s’ils l’avaient lue, ils n’auraient pas pu présenter cette proposition, qui n’a absolument rien à voir avec l’évaluation d’impact. Je me demande, par exemple, d’où le collège des commissaires a tiré l’année."
1004,1,"FR","","","","",FALSE,"Il est regrettable que les autres membres du collège des commissaires n’aient pas lu cette évaluation d’impact parce que, s’ils l’avaient lue, ils n’auraient pas pu présenter cette proposition, qui n’a absolument rien à voir avec l’évaluation d’impact.","L’évaluation d’impact que vous avez présentée est excellente. Elle est basée sur des faits, elle est concluante et va droit au but.","Je me demande, par exemple, d’où le collège des commissaires a tiré l’année. Il n’en est absolument pas question dans l’évaluation d’impact."
1005,1,"FR","","","","",FALSE,"Je me demande, par exemple, d’où le collège des commissaires a tiré l’année.","Elle est basée sur des faits, elle est concluante et va droit au but. Il est regrettable que les autres membres du collège des commissaires n’aient pas lu cette évaluation d’impact parce que, s’ils l’avaient lue, ils n’auraient pas pu présenter cette proposition, qui n’a absolument rien à voir avec l’évaluation d’impact.","Il n’en est absolument pas question dans l’évaluation d’impact. La seule explication possible est que 2014 est exactement à mi-chemin entre 2010 et 2018. Cela doit être ça."
1006,1,"FR","","","","",FALSE,"Il n’en est absolument pas question dans l’évaluation d’impact.","Il est regrettable que les autres membres du collège des commissaires n’aient pas lu cette évaluation d’impact parce que, s’ils l’avaient lue, ils n’auraient pas pu présenter cette proposition, qui n’a absolument rien à voir avec l’évaluation d’impact. Je me demande, par exemple, d’où le collège des commissaires a tiré l’année.","La seule explication possible est que 2014 est exactement à mi-chemin entre 2010 et 2018. Cela doit être ça. Toutefois, il se peut également qu’ils n’en aient pas compris le contenu."
1007,1,"FR","","","","",FALSE,"La seule explication possible est que 2014 est exactement à mi-chemin entre 2010 et 2018. Cela doit être ça.","Je me demande, par exemple, d’où le collège des commissaires a tiré l’année. Il n’en est absolument pas question dans l’évaluation d’impact.","Toutefois, il se peut également qu’ils n’en aient pas compris le contenu. Aucun des arguments en faveur de cette proposition ne peut être sérieusement pris en considération parce qu’ils sont tous faux."
1008,1,"FR","","","","",FALSE,"Toutefois, il se peut également qu’ils n’en aient pas compris le contenu.","Il n’en est absolument pas question dans l’évaluation d’impact. La seule explication possible est que 2014 est exactement à mi-chemin entre 2010 et 2018. Cela doit être ça.","Aucun des arguments en faveur de cette proposition ne peut être sérieusement pris en considération parce qu’ils sont tous faux. Prenons par exemple l’argument selon lequel le régime d’aides d’État adopté en 2002, qui est sur le point d’expirer, était un dispositif d’élimination progressive pour les mines de charbon."
1009,1,"FR","","","","",FALSE,"Aucun des arguments en faveur de cette proposition ne peut être sérieusement pris en considération parce qu’ils sont tous faux.","La seule explication possible est que 2014 est exactement à mi-chemin entre 2010 et 2018. Cela doit être ça. Toutefois, il se peut également qu’ils n’en aient pas compris le contenu.","Prenons par exemple l’argument selon lequel le régime d’aides d’État adopté en 2002, qui est sur le point d’expirer, était un dispositif d’élimination progressive pour les mines de charbon. C’est évidemment complètement faux."
1010,1,"FR","","","","",FALSE,"Prenons par exemple l’argument selon lequel le régime d’aides d’État adopté en 2002, qui est sur le point d’expirer, était un dispositif d’élimination progressive pour les mines de charbon.","Toutefois, il se peut également qu’ils n’en aient pas compris le contenu. Aucun des arguments en faveur de cette proposition ne peut être sérieusement pris en considération parce qu’ils sont tous faux.","C’est évidemment complètement faux. C’était un dispositif de remplacement."
