"sentenceid","speechno","language","_golden","subsidy_scale","subsidy_scale_gold","subsidy_scale_gold_reason","screener","sentence_text","pre_sentence","post_sentence"
1001,1,"GR","","","","",FALSE,"Κυρία Πρόεδρε, κύριε Almunia, κυρίες και κύριοι, καταρχάς θα ήθελα να συγχαρώ εσάς, κύριε Almunia, και τις υπηρεσίες σας.","","Η εκτίμηση επιπτώσεων που παρουσιάσατε είναι πολύ καλή. Βασίζεται σε γεγονότα, είναι πειστική και εστιάζει στο προκείμενο."
1002,1,"GR","","","","",FALSE,"Η εκτίμηση επιπτώσεων που παρουσιάσατε είναι πολύ καλή.","Κυρία Πρόεδρε, κύριε Almunia, κυρίες και κύριοι, καταρχάς θα ήθελα να συγχαρώ εσάς, κύριε Almunia, και τις υπηρεσίες σας.","Βασίζεται σε γεγονότα, είναι πειστική και εστιάζει στο προκείμενο. Είναι κρίμα το γεγονός ότι τα άλλη μέλη του Σώματος των Επιτρόπων δεν διάβασαν αυτήν την εκτίμηση επιπτώσεων, διότι, αν το είχαν κάνει, δεν θα μπορούσαν να υποβάλουν την πρόταση αυτή, η οποία δεν έχει απολύτως καμία σχέση με την εκτίμηση επιπτώσεων."
1003,1,"GR","","","","",FALSE,"Βασίζεται σε γεγονότα, είναι πειστική και εστιάζει στο προκείμενο.","Κυρία Πρόεδρε, κύριε Almunia, κυρίες και κύριοι, καταρχάς θα ήθελα να συγχαρώ εσάς, κύριε Almunia, και τις υπηρεσίες σας. Η εκτίμηση επιπτώσεων που παρουσιάσατε είναι πολύ καλή.","Είναι κρίμα το γεγονός ότι τα άλλη μέλη του Σώματος των Επιτρόπων δεν διάβασαν αυτήν την εκτίμηση επιπτώσεων, διότι, αν το είχαν κάνει, δεν θα μπορούσαν να υποβάλουν την πρόταση αυτή, η οποία δεν έχει απολύτως καμία σχέση με την εκτίμηση επιπτώσεων. Αναρωτιέμαι πώς το Σώμα των Επιτρόπων επέλεξε τη χρονιά, για παράδειγμα."
1004,1,"GR","","","","",FALSE,"Είναι κρίμα το γεγονός ότι τα άλλη μέλη του Σώματος των Επιτρόπων δεν διάβασαν αυτήν την εκτίμηση επιπτώσεων, διότι, αν το είχαν κάνει, δεν θα μπορούσαν να υποβάλουν την πρόταση αυτή, η οποία δεν έχει απολύτως καμία σχέση με την εκτίμηση επιπτώσεων.","Η εκτίμηση επιπτώσεων που παρουσιάσατε είναι πολύ καλή. Βασίζεται σε γεγονότα, είναι πειστική και εστιάζει στο προκείμενο.","Αναρωτιέμαι πώς το Σώμα των Επιτρόπων επέλεξε τη χρονιά, για παράδειγμα. Στην εκτίμηση επιπτώσεων δεν γίνεται απολύτως καμία αναφορά σε αυτό."
1005,1,"GR","","","","",FALSE,"Αναρωτιέμαι πώς το Σώμα των Επιτρόπων επέλεξε τη χρονιά, για παράδειγμα.","Βασίζεται σε γεγονότα, είναι πειστική και εστιάζει στο προκείμενο. Είναι κρίμα το γεγονός ότι τα άλλη μέλη του Σώματος των Επιτρόπων δεν διάβασαν αυτήν την εκτίμηση επιπτώσεων, διότι, αν το είχαν κάνει, δεν θα μπορούσαν να υποβάλουν την πρόταση αυτή, η οποία δεν έχει απολύτως καμία σχέση με την εκτίμηση επιπτώσεων.","Στην εκτίμηση επιπτώσεων δεν γίνεται απολύτως καμία αναφορά σε αυτό. Το μόνο πράγμα που μπορεί να εξηγήσει κάτι τέτοιο είναι ότι το 2014 βρίσκεται ακριβώς στο μέσο του διαστήματος μεταξύ του 2010 και του 2018."
1006,1,"GR","","","","",FALSE,"Στην εκτίμηση επιπτώσεων δεν γίνεται απολύτως καμία αναφορά σε αυτό.","Είναι κρίμα το γεγονός ότι τα άλλη μέλη του Σώματος των Επιτρόπων δεν διάβασαν αυτήν την εκτίμηση επιπτώσεων, διότι, αν το είχαν κάνει, δεν θα μπορούσαν να υποβάλουν την πρόταση αυτή, η οποία δεν έχει απολύτως καμία σχέση με την εκτίμηση επιπτώσεων. Αναρωτιέμαι πώς το Σώμα των Επιτρόπων επέλεξε τη χρονιά, για παράδειγμα.","Το μόνο πράγμα που μπορεί να εξηγήσει κάτι τέτοιο είναι ότι το 2014 βρίσκεται ακριβώς στο μέσο του διαστήματος μεταξύ του 2010 και του 2018. Αυτό θα είναι."
1007,1,"GR","","","","",FALSE,"Το μόνο πράγμα που μπορεί να εξηγήσει κάτι τέτοιο είναι ότι το 2014 βρίσκεται ακριβώς στο μέσο του διαστήματος μεταξύ του 2010 και του 2018.","Αναρωτιέμαι πώς το Σώμα των Επιτρόπων επέλεξε τη χρονιά, για παράδειγμα. Στην εκτίμηση επιπτώσεων δεν γίνεται απολύτως καμία αναφορά σε αυτό.","Αυτό θα είναι. Εντούτοις, ενδέχεται επίσης να μην κατανόησαν το περιεχόμενο."
1008,1,"GR","","","","",FALSE,"Αυτό θα είναι.","Στην εκτίμηση επιπτώσεων δεν γίνεται απολύτως καμία αναφορά σε αυτό. Το μόνο πράγμα που μπορεί να εξηγήσει κάτι τέτοιο είναι ότι το 2014 βρίσκεται ακριβώς στο μέσο του διαστήματος μεταξύ του 2010 και του 2018.","Εντούτοις, ενδέχεται επίσης να μην κατανόησαν το περιεχόμενο. Κανένα από τα επιχειρήματα υπέρ της παρούσας πρότασης δεν μπορεί να ληφθεί σοβαρά υπόψη, διότι δεν είναι σωστά."
1009,1,"GR","","","","",FALSE,"Εντούτοις, ενδέχεται επίσης να μην κατανόησαν το περιεχόμενο.","Το μόνο πράγμα που μπορεί να εξηγήσει κάτι τέτοιο είναι ότι το 2014 βρίσκεται ακριβώς στο μέσο του διαστήματος μεταξύ του 2010 και του 2018. Αυτό θα είναι.","Κανένα από τα επιχειρήματα υπέρ της παρούσας πρότασης δεν μπορεί να ληφθεί σοβαρά υπόψη, διότι δεν είναι σωστά. Υπάρχει το επιχείρημα ότι το πρόγραμμα κρατικών ενισχύσεων που υιοθετήθηκε το 2002, το οποίο πρόκειται να λήξει, ήταν μεταβατική ρύθμιση για τον τομέα της εξόρυξης άνθρακα."
1010,1,"GR","","","","",FALSE,"Κανένα από τα επιχειρήματα υπέρ της παρούσας πρότασης δεν μπορεί να ληφθεί σοβαρά υπόψη, διότι δεν είναι σωστά.","Αυτό θα είναι. Εντούτοις, ενδέχεται επίσης να μην κατανόησαν το περιεχόμενο.","Υπάρχει το επιχείρημα ότι το πρόγραμμα κρατικών ενισχύσεων που υιοθετήθηκε το 2002, το οποίο πρόκειται να λήξει, ήταν μεταβατική ρύθμιση για τον τομέα της εξόρυξης άνθρακα. Φυσικά, κάτι τέτοιο είναι εντελώς λανθασμένο."
