sentenceid,speechno,language,_golden,subsidy_scale,subsidy_scale_gold,subsidy_scale_gold_reason,screener,sentence_text,pre_sentence,post_sentence
1,0,GR,TRUE,,-1,"Αυτή η δήλωση είναι κατά των επιδοτήσεων, διότι καταδικάζει την προηγούμενη παράταση των κρατικών ενισχύσεων για μη αποδοτικά ορυχεία και αναφέρει τη μείωση της ανταγωνιστικότητας ως αποτέλεσμα.",FALSE,"Ωστόσο, οι προηγούμενες νομοθεσίες για τη στήριξη των μη αποδοτικών ορυχείων αντί να τα βοηθήσουν να καταστούν κερδοφόρα ενθάρρυναν τη συνέχιση της σπατάλης και την έλλειψη ανταγωνιστικότητας.","Πρώτα, η πρόταση για τη χορήγηση λειτουργικών ενισχύσεων ή επενδύσεων προκειμένου να γίνουν τα ορυχεία ανταγωνιστικά. Υπήρχε ήδη μια παρόμοια διάταξη στον προηγούμενο κανονισμό σχετικά με τις ενισχύσεις για τον τομέα.","Τα ορυχεία επιχορήγηθηκαν με τη μάταιη ελπίδα της επίτευξης κερδοφορίας. Τώρα έχουμε να αντιμετωπίσουμε τις συνέπειες: πρέπει να επεκτείνουμε αυτό το ειδικό καθεστώς για την παραγωγή άνθρακα, διότι τα εν λόγω ορυχεία ούτε έχουν επιτύχει κερδοφορία, ούτε έχουν κλείσει."
2,0,GR,TRUE,,-1,Αυτή η φράση είναι μια γενική δήλωση που επικρίνει τις κρατικές ενισχύσεις.,FALSE,Κρατικές ενισχύσεις υπονομεύουν την ανταγωνιστικότητα.,Για αυτό  θεωρούμε ότι είναι απαραίτητη η σταδιακή κατάργηση των επιδοτήσεων. Το 2ο μέρος της πρότασής μας αναφέρεται αυτό το σημείο.,"Ως εκ τούτου, η συνθήκη περιέχει διατάξεις ασυμβίβαστες με ένα ευρύ φάσμα περιπτώσεων. Οι λειτουργικές ενισχύσεις μπορεί να επιτρέπονται μόνον εάν είναι πιθανό να έχουν θετικά αποτελέσματα."
3,0,GR,TRUE,,-1,Αυτή η δήλωση επικρίνει τις κρατικές ενισχύσεις και παραθέτει την ανάγκη να είναι ανταγωνιστικές αντί να στηρίζουν ζημιογόνες δραστηριοτήτες.,FALSE,Η μεταλλευτική βιομηχανία πρέπει να είναι ανταγωνιστική και επιδότηση της υπονομεύει αυτό το στόχο.,"Κυρία Πρόεδρε, κύριε Almunia, κυρίες και κύριοι, κανείς δεν αμφισβητεί το γεγονός ότι ο άνθρακας είναι ένα σημαντικό μέρος του ενεργειακού εφοδιασμού μας.",Το ερώτημα τώρα είναι αν το 2014 ή το 2018 είναι η κατάλληλη προθεσμία. Ο κ Rapkay προέβαλε μια σειρά έξυπνων επιχειρημάτων που δεν θα επαναλάβω.
4,0,GR,TRUE,,-1,Αυτή η δήλωση επιτίθεται στις επιδοτήσεις ως μη οικονομικά μη-βιώσιμες καθώς και περιβαλλοντικά ανεπιθύμητες.,FALSE,"
Πρέπει να θυμόμαστε ότι το να συνεχίσουμε να κρατάμε αυτά τα ασύμφορη ανθρακωρυχεία ανοικτά είναι ενάντια στο σκοπό αυτό.","Κυρία Πρόεδρε, κυρίες και κύριοι, το κόμμα μας δεν έχει καμία αντίρρηση για την επένδωση δημόσιων κεφαλαίων, με την προϋπόθεση ότι θα βοηθήσουν τη μετάβαση μας στην παραγωγικότητα και την κερδοφορία.","Στηρίζει μια βιομηχανία που δεν είναι βιώσιμη ούτε από οικονομική άποψη - αλλιώς δεν θα χρειάζονται επιδοτήσεις - ούτε από περιβαλλοντική απόψη. Όπως η κυρία in 't Veld τόνισε μόλις τώρα, για πολλές δεκαετίες η βιομηχανία άνθρακα έχει ζητήσει τη μετάβαση αυτή  να επεκταθεί, χωρίς ορατό τέλος."
5,0,GR,TRUE,,-1,Αυτή είναι μια σκεπτική (αρνητική) δήλωση για τη συνέχιση των επιδοτήσεων.,FALSE,"Υπό το πρίσμα αυτό, έχω σοβαρές αμφιβολίες σχετικά με την πρόθεση να επεκταθούν τώρα οι κρατικές επιχορηγήσεις για μη αποδοτικά ορυχεία άνθρακα.","Πρέπει να έχουμε ένα στόχο όταν πρόκειται για την αυτοκινητοβιομηχανία, τη μηχανολογική βιομηχανία και την ιατρική βιομηχανία. Για να είναι επιτυχής θα πρέπει να μεταρρυθμίσουμε την οικονομία μας για να μπορέσει να ανταποκριθεί στις απαιτήσεις του σύγχρονου ανταγωνισμού και της παγκόσμιας οικονομίας.","Αυτό θα σημαίνει ότι, σε κρατικό επίπεδο, θα δεσμεύονται τα χρήματα από επιχειρήσεις που δεν είναι κερδοφόρες και τελικά ούτε σε θέση να υποστηρίξουν θέσεις εργασίας."
6,0,GR,TRUE,,-1,Η δήλωση αυτή υποστηρίζει ότι η περαιτέρω επέκταση της κρατικής ενίσχυσης είναι ανεπιθύμητη και προωθεί τη λήξη τους νωρίτερα παρά αργότερα.,FALSE,"Κυρία Πρόεδρε, κύριε Almunia, θα πρέπει να καταπιούμε το πικρό χάπι τώρα, αντί να υπομείνουμε δεκαετίες περισσότερο της ασθένειας της μη ανταγωνιστικότητας. ",Χ,"Αυτός είναι ο λόγος που υποστηρίζω την πρόταση της Επιτροπής για τη σταδιακή κατάργηση των κρατικών ενισχύσεων, το 2014 για τα ορυχεία που δεν είναι ανταγωνιστικά από την εν λόγω ημερομηνία."
7,0,GR,TRUE,,-1,Η δήλωση αυτή αποτελεί μέρος ενός επιχειρήματος ότι ασύμφορα ορυχεία εμποδίζουν την κίνηση προς περισσότερη ανταγωνιστικότητα και ότι η συνέχιση των κρατικών ενισχύσεων απλώς καθυστερεί το αναπόφευκτο κλείσιμο των μη αποδοτικών ορυχείων.,FALSE,"Τα Ευρωπαϊκά ανθρακωρυχεία, αργά ή γρήγορα, θα πρέπει να προσαρμοστούν στην αλλαγή.",Παγκοσμιοποίηση σημαίνει ότι θα υπάρξουν σημαντικές πιέσεις στις τιμές άνθρακα.,Συνέχιση των κρατικών ενισχύσεων για  ορυχεία που δεν είναι κερδοφόρα μόνο επιβραδύνει τη διαδικασία αυτής της προσαρμογής και την ικανότητά μας να κάνουμε τις απαραίτητες αλλαγές.
8,0,GR,TRUE,,-1,Η δήλωση αυτή υποστηρίζει ότι η περαιτέρω επέκταση της κρατικής ενίσχυσης είναι ανεπιθύμητη και προωθεί τη λήξη τους νωρίτερα παρά αργότερα.,FALSE,Οι μη-κερδοφόρες βιομηχανίες δεν μπορούν να διατηρούνται με ένα μηχάνημα υποστήριξης για πάντα.,"Η παραγωγή θα μεταφέρθει σε χώρες όπου η εργασία είναι φθηνότερη και σε περιοχές της ΕΕ όπου ο άνθρακας παράγεται θα δείτε θέσεις εργασίας και εισόδημα να απομακρύνονται, καθώς τα ορυχεία δεν μπορούν πλέον να ανταποκριθούν στον ανταγωνισμό. Αν και αυτό είναι μια ανεπιθύμητη εξέλιξη, οι ενέργειες των αρχών δεν μπορούν να έρχονται σε σύγκρουση με τις βασικές αρχές της οικονομίας της αγοράς.",Πρέπει να θυμόμαστε ότι διαρθρωτικές αλλαγές σε αυτήν την κλίμακα θα έχουν αναπόφευκτα εκτεταμένες και δραματικές κοινωνικές συνέπειες.
9,0,GR,TRUE,,-1,Η δήλωση αυτή καταδικάζει την τεχνητή υποστήριξη  μη ανταγωνιστικών βιομηχανιών και υποστηρίζει τον τερματισμό των κρατικών ενισχύσεων νωρίτερα παρά αργότερα.,FALSE,"Θα ληφθούν μέτρα κάθετα αντίθετα με το πνεύμα του ανταγωνισμού και της αποδοτικότητας, εάν το Κοινοβούλιο επιτρέψει στα κράτη μέλη να σπαταλάμε δισεκατομμύρια σε ανθρακωρυχεία.","Παρ 'όλα τα ωραία λόγια για το κλίμα εγκρίνοντας την έκθεση αυτή, η Ευρώπη θα εξακολουθεί να είναι προσκολλημένη στο μαύρο παρελθόν της του άνθρακα. 
Στο πλαίσιο της στρατηγικής ""Ευρώπη 2020"", η ΕΕ θα ήθελε να κινηθεί γρήγορα προς ένα μέλλον χαμηλών εκπομπών που βασίζεται σε ανανεώσιμες μορφές ενέργειας.","Οι ισχύοντες κανόνες για τις ενισχύσεις θα έληγαν τον Δεκέμβριο, αλλά στις προτάσεις της Επιτροπής θα πρέπει να παραταθούν μέχρι το 2014. Η κατηόρα προς τον μαύρο άνθρακα εντείνεται από το γεγονός ότι το Κοινοβούλιο θέλει τους κανόνες σχετικά με τις ενισχύσεις που πρόκειται να επεκταθούν έως το 2018. Δύο χρόνια πριν οι ενισχύσεις από τα κράτη μέλη της ΕΕ προς τη βιομηχανία που παράγουν και χρησιμοποιούν λιθάνθρακα, δηλαδή, ανθρακίτη ήταν  2,9 δισεκατομμύρια ευρώ. Αυτό μόνο δείχνει ότι εξακολουθεί να υπάρχουν πολλές περισσότερες ενισχύσεις για τα ορυκτά καύσιμα από ό, τι υπάρχουν για τις ανανεώσιμες πηγές ενέργειας και αυτό παρά το γεγονός ότι οι στόχοι μας για το κλίμα καλούν για την ακριβώς αντίθετη πολιτική."
10,0,GR,TRUE,,-1,"Αυτή η δήλωση είναι κατά των επιδοτήσεων, επειδή υποστηρίζει την πρόταση της Επιτροπής για την κατάργησή τους από το 2014 παρά την επέκτασή τους έως το 2018 ή αργότερα.",FALSE,Πρέπει να στηρίξουμε την πρόταση της Επιτροπής.,"Θα σημαίνει επίσης ότι η μεταμόρφωση που χρειαζόμαστε, ώστε να γίνουμε πραγματικά ανταγωνιστικοί θα είναι πιο αργή. Αυτό θα σημαίνει ότι εμείς δεν αναπτυσσόμαστε σε άλλους τομείς και επίσης, ότι σε λίγα χρόνια άνθρωποι θα εξακολουθούν να απασχολούνται σε βιομηχανίες που δεν προσφέρουν μακροπρόθεσμη ασφάλεια και την ευκαιρία για τα προς το ζην, καθώς και οι περιφέρειες για τις οποίες τώρα μιλάμε θα εξακολουθούν να εξαρτώνται από την εξόρυξη άνθρακα από μη κερδοφόρα ανθρακωρυχεία.",Χ
