"sentenceid","speechno","language","_golden","subsidy_scale","subsidy_scale_gold","subsidy_scale_gold_reason","screener","sentence_text","pre_sentence","post_sentence"
1001,1,"HU","","","","",FALSE,"Elnök asszony, Almunia úr, hölgyeim és uraim! Először is szeretnék gratulálni önnek és hivatalainak, Almunia úr.","","Az ön által benyújtott hatásvizsgálat rendkívül jó. Tényekre épül, bizonyító erejű, és sikerült megragadnia a lényeget."
1002,1,"HU","","","","",FALSE,"Az ön által benyújtott hatásvizsgálat rendkívül jó.","Elnök asszony, Almunia úr, hölgyeim és uraim! Először is szeretnék gratulálni önnek és hivatalainak, Almunia úr.","Tényekre épül, bizonyító erejű, és sikerült megragadnia a lényeget. Sajnálatos, hogy a biztosi testület többi tagja nem olvasta el ezt a hatásvizsgálatot, mert ha elolvassák, akkor biztosan nem nyújtják be ezt a javaslatot, amelynek az égadta világon semmi köze sincs a hatásvizsgálathoz."
1003,1,"HU","","","","",FALSE,"Tényekre épül, bizonyító erejű, és sikerült megragadnia a lényeget.","Elnök asszony, Almunia úr, hölgyeim és uraim! Először is szeretnék gratulálni önnek és hivatalainak, Almunia úr. Az ön által benyújtott hatásvizsgálat rendkívül jó.","Sajnálatos, hogy a biztosi testület többi tagja nem olvasta el ezt a hatásvizsgálatot, mert ha elolvassák, akkor biztosan nem nyújtják be ezt a javaslatot, amelynek az égadta világon semmi köze sincs a hatásvizsgálathoz. Szeretném tudni például, hogy a biztosi testület honnan vette az évszámot."
1004,1,"HU","","","","",FALSE,"Sajnálatos, hogy a biztosi testület többi tagja nem olvasta el ezt a hatásvizsgálatot, mert ha elolvassák, akkor biztosan nem nyújtják be ezt a javaslatot, amelynek az égadta világon semmi köze sincs a hatásvizsgálathoz.","Az ön által benyújtott hatásvizsgálat rendkívül jó. Tényekre épül, bizonyító erejű, és sikerült megragadnia a lényeget.","Szeretném tudni például, hogy a biztosi testület honnan vette az évszámot. Még véletlenül sem történik erről említés a hatásvizsgálatban."
1005,1,"HU","","","","",FALSE,"Szeretném tudni például, hogy a biztosi testület honnan vette az évszámot.","Tényekre épül, bizonyító erejű, és sikerült megragadnia a lényeget. Sajnálatos, hogy a biztosi testület többi tagja nem olvasta el ezt a hatásvizsgálatot, mert ha elolvassák, akkor biztosan nem nyújtják be ezt a javaslatot, amelynek az égadta világon semmi köze sincs a hatásvizsgálathoz.","Még véletlenül sem történik erről említés a hatásvizsgálatban. Az egyetlen épkézláb magyarázat az lehet, hogy 2014 pontosan félúton van 2010 és 2018 között."
1006,1,"HU","","","","",FALSE,"Még véletlenül sem történik erről említés a hatásvizsgálatban.","Sajnálatos, hogy a biztosi testület többi tagja nem olvasta el ezt a hatásvizsgálatot, mert ha elolvassák, akkor biztosan nem nyújtják be ezt a javaslatot, amelynek az égadta világon semmi köze sincs a hatásvizsgálathoz. Szeretném tudni például, hogy a biztosi testület honnan vette az évszámot.","Az egyetlen épkézláb magyarázat az lehet, hogy 2014 pontosan félúton van 2010 és 2018 között. Talán ez lehet a magyarázat."
1007,1,"HU","","","","",FALSE,"Az egyetlen épkézláb magyarázat az lehet, hogy 2014 pontosan félúton van 2010 és 2018 között.","Szeretném tudni például, hogy a biztosi testület honnan vette az évszámot. Még véletlenül sem történik erről említés a hatásvizsgálatban.","Talán ez lehet a magyarázat. Az is lehetséges azonban, hogy nem is értették meg a hatásvizsgálat tartalmát."
1008,1,"HU","","","","",FALSE,"Talán ez lehet a magyarázat.","Még véletlenül sem történik erről említés a hatásvizsgálatban. Az egyetlen épkézláb magyarázat az lehet, hogy 2014 pontosan félúton van 2010 és 2018 között.","Az is lehetséges azonban, hogy nem is értették meg a hatásvizsgálat tartalmát. A javaslat mellett szóló érvek közül egyet sem lehet komolyan mérlegelni, mert nem helyesek."
1009,1,"HU","","","","",FALSE,"Az is lehetséges azonban, hogy nem is értették meg a hatásvizsgálat tartalmát.","Az egyetlen épkézláb magyarázat az lehet, hogy 2014 pontosan félúton van 2010 és 2018 között. Talán ez lehet a magyarázat.","A javaslat mellett szóló érvek közül egyet sem lehet komolyan mérlegelni, mert nem helyesek. Ott van például az az érv, hogy az állami támogatások 2002-ben elfogadott rendszere, amely hamarosan lejár, a szénbányászat lépcsőzetes megszüntetésére irányuló intézkedés volt."
1010,1,"HU","","","","",FALSE,"A javaslat mellett szóló érvek közül egyet sem lehet komolyan mérlegelni, mert nem helyesek.","Talán ez lehet a magyarázat. Az is lehetséges azonban, hogy nem is értették meg a hatásvizsgálat tartalmát.","Ott van például az az érv, hogy az állami támogatások 2002-ben elfogadott rendszere, amely hamarosan lejár, a szénbányászat lépcsőzetes megszüntetésére irányuló intézkedés volt. Ez természetesen totális tévedés."
