"sentenceid","speechno","language","_golden","subsidy_scale","subsidy_scale_gold","subsidy_scale_gold_reason","screener","sentence_text","pre_sentence","post_sentence"
1001,1,"PL","","","","",FALSE,"Pani Przewodnicząca, Panie Komisarzu, Szanowni Państwo! Na wstępnie pragnę pogratulować Panu, Panie Komisarzu, a także pańskim pracownikom.","","Przedstawiona przez Pana ocena skutków jest bardzo dobra. Jest oparta na faktach, jest rozstrzygająca i trafia w sedno sprawy."
1002,1,"PL","","","","",FALSE,"Przedstawiona przez Pana ocena skutków jest bardzo dobra.","Pani Przewodnicząca, Panie Komisarzu, Szanowni Państwo! Na wstępnie pragnę pogratulować Panu, Panie Komisarzu, a także pańskim pracownikom.","Jest oparta na faktach, jest rozstrzygająca i trafia w sedno sprawy. Szkoda, że inni członkowie Kolegium Komisarzy nie przeczytali tej oceny skutków, ponieważ gdyby to uczynili, nie przedstawiliby tego wniosku, który nijak się ma do wspomnianej oceny skutków."
1003,1,"PL","","","","",FALSE,"Jest oparta na faktach, jest rozstrzygająca i trafia w sedno sprawy.","Pani Przewodnicząca, Panie Komisarzu, Szanowni Państwo! Na wstępnie pragnę pogratulować Panu, Panie Komisarzu, a także pańskim pracownikom. Przedstawiona przez Pana ocena skutków jest bardzo dobra.","Szkoda, że inni członkowie Kolegium Komisarzy nie przeczytali tej oceny skutków, ponieważ gdyby to uczynili, nie przedstawiliby tego wniosku, który nijak się ma do wspomnianej oceny skutków. Zastanawiam się, na przykład, jak Kolegium Komisarzy wpadło na to, żeby wybrać ten a nie inny rok."
1004,1,"PL","","","","",FALSE,"Szkoda, że inni członkowie Kolegium Komisarzy nie przeczytali tej oceny skutków, ponieważ gdyby to uczynili, nie przedstawiliby tego wniosku, który nijak się ma do wspomnianej oceny skutków.","Przedstawiona przez Pana ocena skutków jest bardzo dobra. Jest oparta na faktach, jest rozstrzygająca i trafia w sedno sprawy.","Zastanawiam się, na przykład, jak Kolegium Komisarzy wpadło na to, żeby wybrać ten a nie inny rok. Nie ma o tym ani słowa we wspomnianej ocenie skutków."
1005,1,"PL","","","","",FALSE,"Zastanawiam się, na przykład, jak Kolegium Komisarzy wpadło na to, żeby wybrać ten a nie inny rok.","Jest oparta na faktach, jest rozstrzygająca i trafia w sedno sprawy. Szkoda, że inni członkowie Kolegium Komisarzy nie przeczytali tej oceny skutków, ponieważ gdyby to uczynili, nie przedstawiliby tego wniosku, który nijak się ma do wspomnianej oceny skutków.","Nie ma o tym ani słowa we wspomnianej ocenie skutków. Jedyną rzeczą, jaka może tłumaczyć wybór roku, jest to, że 2014 jest dokładnie w połowie okresu 2010-2018."
1006,1,"PL","","","","",FALSE,"Nie ma o tym ani słowa we wspomnianej ocenie skutków.","Szkoda, że inni członkowie Kolegium Komisarzy nie przeczytali tej oceny skutków, ponieważ gdyby to uczynili, nie przedstawiliby tego wniosku, który nijak się ma do wspomnianej oceny skutków. Zastanawiam się, na przykład, jak Kolegium Komisarzy wpadło na to, żeby wybrać ten a nie inny rok.","Jedyną rzeczą, jaka może tłumaczyć wybór roku, jest to, że 2014 jest dokładnie w połowie okresu 2010-2018. Takie musi być wytłumaczenie."
1007,1,"PL","","","","",FALSE,"Jedyną rzeczą, jaka może tłumaczyć wybór roku, jest to, że 2014 jest dokładnie w połowie okresu 2010-2018.","Zastanawiam się, na przykład, jak Kolegium Komisarzy wpadło na to, żeby wybrać ten a nie inny rok. Nie ma o tym ani słowa we wspomnianej ocenie skutków.","Takie musi być wytłumaczenie. Może być jednak również tak, że Kolegium nie zrozumiało treści."
1008,1,"PL","","","","",FALSE,"Takie musi być wytłumaczenie.","Nie ma o tym ani słowa we wspomnianej ocenie skutków. Jedyną rzeczą, jaka może tłumaczyć wybór roku, jest to, że 2014 jest dokładnie w połowie okresu 2010-2018.","Może być jednak również tak, że Kolegium nie zrozumiało treści. Nie można poważnie potraktować żadnego z argumentów za tym wnioskiem, ponieważ są one błędne."
1009,1,"PL","","","","",FALSE,"Może być jednak również tak, że Kolegium nie zrozumiało treści.","Jedyną rzeczą, jaka może tłumaczyć wybór roku, jest to, że 2014 jest dokładnie w połowie okresu 2010-2018. Takie musi być wytłumaczenie.","Nie można poważnie potraktować żadnego z argumentów za tym wnioskiem, ponieważ są one błędne. Przywołano argument, że przedmiotowy program pomocy państwa, przyjęty w 2002 roku i niedługo wygasający, był porozumieniem w sprawie stopniowej likwidacji pomocy dla górnictwa węglowego."
1010,1,"PL","","","","",FALSE,"Nie można poważnie potraktować żadnego z argumentów za tym wnioskiem, ponieważ są one błędne.","Takie musi być wytłumaczenie. Może być jednak również tak, że Kolegium nie zrozumiało treści.","Przywołano argument, że przedmiotowy program pomocy państwa, przyjęty w 2002 roku i niedługo wygasający, był porozumieniem w sprawie stopniowej likwidacji pomocy dla górnictwa węglowego. Oczywiście, to całkowita nieprawda."
1011,1,"PL","","","","",FALSE,"Przywołano argument, że przedmiotowy program pomocy państwa, przyjęty w 2002 roku i niedługo wygasający, był porozumieniem w sprawie stopniowej likwidacji pomocy dla górnictwa węglowego.","Może być jednak również tak, że Kolegium nie zrozumiało treści. Nie można poważnie potraktować żadnego z argumentów za tym wnioskiem, ponieważ są one błędne.","Oczywiście, to całkowita nieprawda. To porozumienie zastępowało traktat."
1012,1,"PL","","","","",FALSE,"Oczywiście, to całkowita nieprawda.","Nie można poważnie potraktować żadnego z argumentów za tym wnioskiem, ponieważ są one błędne. Przywołano argument, że przedmiotowy program pomocy państwa, przyjęty w 2002 roku i niedługo wygasający, był porozumieniem w sprawie stopniowej likwidacji pomocy dla górnictwa węglowego.","To porozumienie zastępowało traktat. Wiem to, bo byłem tam i byłem sprawozdawcą dla Parlamentu w 2002 roku."
1013,1,"PL","","","","",FALSE,"To porozumienie zastępowało traktat.","Przywołano argument, że przedmiotowy program pomocy państwa, przyjęty w 2002 roku i niedługo wygasający, był porozumieniem w sprawie stopniowej likwidacji pomocy dla górnictwa węglowego. Oczywiście, to całkowita nieprawda.","Wiem to, bo byłem tam i byłem sprawozdawcą dla Parlamentu w 2002 roku. Wówczas stracił moc Traktat Ustanawiający Europejską Wspólnotę Węgla i Stali (EWWiS) po 50 latach obowiązywania, w związku z czym konieczne było nowe porozumienie, nie tylko w odniesieniu do pomocy, ale również innych kwestii."
1014,1,"PL","","","","",FALSE,"Wiem to, bo byłem tam i byłem sprawozdawcą dla Parlamentu w 2002 roku.","Oczywiście, to całkowita nieprawda. To porozumienie zastępowało traktat.","Wówczas stracił moc Traktat Ustanawiający Europejską Wspólnotę Węgla i Stali (EWWiS) po 50 latach obowiązywania, w związku z czym konieczne było nowe porozumienie, nie tylko w odniesieniu do pomocy, ale również innych kwestii. Gdyby to było porozumienie w sprawie stopniowej likwidacji pomocy, wówczas co stałoby się, na przykład, z aktywami EWWiS?"
1015,1,"PL","","","","",FALSE,"Wówczas stracił moc Traktat Ustanawiający Europejską Wspólnotę Węgla i Stali (EWWiS) po 50 latach obowiązywania, w związku z czym konieczne było nowe porozumienie, nie tylko w odniesieniu do pomocy, ale również innych kwestii.","To porozumienie zastępowało traktat. Wiem to, bo byłem tam i byłem sprawozdawcą dla Parlamentu w 2002 roku.","Gdyby to było porozumienie w sprawie stopniowej likwidacji pomocy, wówczas co stałoby się, na przykład, z aktywami EWWiS? To nie było uzgodnienie dotyczące stopniowej likwidacji pomocy, ale porozumienie zastępujące traktat."
1016,1,"PL","","","","",FALSE,"Gdyby to było porozumienie w sprawie stopniowej likwidacji pomocy, wówczas co stałoby się, na przykład, z aktywami EWWiS?","Wiem to, bo byłem tam i byłem sprawozdawcą dla Parlamentu w 2002 roku. Wówczas stracił moc Traktat Ustanawiający Europejską Wspólnotę Węgla i Stali (EWWiS) po 50 latach obowiązywania, w związku z czym konieczne było nowe porozumienie, nie tylko w odniesieniu do pomocy, ale również innych kwestii.","To nie było uzgodnienie dotyczące stopniowej likwidacji pomocy, ale porozumienie zastępujące traktat. Wówczas zgodziliśmy się - mając ku temu dobre powody - na obowiązywanie tego porozumienia przez okres ośmiu lat, po którym mieliśmy się raz jeszcze przyjrzeć tej sprawie."
1017,1,"PL","","","","",FALSE,"To nie było uzgodnienie dotyczące stopniowej likwidacji pomocy, ale porozumienie zastępujące traktat.","Wówczas stracił moc Traktat Ustanawiający Europejską Wspólnotę Węgla i Stali (EWWiS) po 50 latach obowiązywania, w związku z czym konieczne było nowe porozumienie, nie tylko w odniesieniu do pomocy, ale również innych kwestii. Gdyby to było porozumienie w sprawie stopniowej likwidacji pomocy, wówczas co stałoby się, na przykład, z aktywami EWWiS?","Wówczas zgodziliśmy się - mając ku temu dobre powody - na obowiązywanie tego porozumienia przez okres ośmiu lat, po którym mieliśmy się raz jeszcze przyjrzeć tej sprawie. Dlatego ten argument jest błędny."
