sentenceid,speechno,language,_golden,subsidy_scale,subsidy_scale_gold,subsidy_scale_gold_reason,screener,sentence_text,pre_sentence,post_sentence
1,0,EN,TRUE,,-1,"To zdanie jest antysubwencyjne bo potępia poprzednie rozszerzenie wsparcia państwa na przynoszące straty kopalnie, oraz cytuje wynikającą z tego szkodę dla konkurencyjności.",FALSE,"Niemniej, poprzednie przepisy wspierające nierentowne kopalnie, zamiast pomagać im w osiąganiu dochodów, zachęcały do dalszego marnotrastwa i niskiej konkurencyjności.","Na początek, propozycja przyznania wsparcia operacyjnego lub inwestycyjnego w celu poprawy konkurencyjności kopalni. Istniało już podobne rozwiązanie we wcześniejszych regulacjach dotyczących wsparcia dla branży.",Kopalnie były dofinansowywane bez skutku jeśli chodzi o dochodowość. Teraz musimy radzić sobie z tego konsekwencjami: musimy rozszerzyć ten specjalny system dla produkcji węgla bo kopalnie o których tu mowa nie osiągnęły progu dochodowości ani też nie zostały zamknięte.
2,0,EN,TRUE,,-1,To zdanie jest ogólną krytyką dotacji państwowych.,FALSE,Wsparcie państwa podkopuje konkurencyjność.,Dlatego więc uważamy wycofanie dotacji za konieczność. Część druga naszej propozycji wymienia ten argument.,W związku z tym traktat zawiera klauzule deklarujące niestosowność tego w szerokim zakresie przypadków. Wsparcie bieżącej działalności powinno być autoryzowane wyłącznie jeśli ma duże szanse przynieść korzystne efekty.
3,0,EN,TRUE,,-1,To zdanie jest krytyczne wobec dotacji państwowych i odnosi się do potrzeby bycia konkurencyjnym a nie wspierającym niedochodową działalność.,FALSE,Branża wydobywcza musi być konkurencyjna a subsydiowanie jej podkopuje ten cel.,"Pani Prezydent, Panie Almunia, Panie i Panowie, nikt nie kwestionuje faktu że węgiel jest ważną częścią naszych dostaw energii.",Pytaniem teraz jest to czy 2014 bądź też 2018 jest odpowiednim terminem. Pan Rapkay wyłożył szereg inteligentnych argumentów których nie będę powtarzać.
4,0,EN,TRUE,,-1,"To zdanie atakuje dotacje jako ekonomicznie nie do utrzymania, a także szkodliwe dla środowiska.",FALSE,"Musimy pamiętać, że dalsze podtrzymywanie przy życiu tych niedochodowych kopani jest sprzeczne z tym celem.","Pani Prezydent, Panie i Panowie, nasza partia nie ma nic przeciwko inwestowaniu środków publicznych, o ile wspomagają one naszą przemianę w kierunku produktywności i zyskowności.","Wspiera się branżę która jest nie jest ekonomicznie samowystarczalna - inaczej nie potrzebowałaby ona dotacji - i która jest szkodliwa dla środowiska. Tak jak Pani Veld właśnie podkreśliła, od kilku dekad branża węglowa domagała się przedłużenia okresu przejściowego, bez końca"
5,0,EN,TRUE,,-1,To jest sceptyczne (negatywne) zdanie na temat kontynuowania dotacji.,FALSE,W tym kontekście mam poważne wątpliwości co do intencji by dzisiaj objąć państwowymi dotacjami niedochodowe kopalnie węgla.,"Musimy mieć cel jeśli chodzi o branżę motoryzacyjną, inżynierię i medycynę. Żeby odnieść sukces musimy przekształcić naszą gospodarkę by umożliwić jej sprostowanie wymogom nowoczesnej konkurencji i globalnej gospodarki.","Będzie to oznaczać, że będziemy lokować pieniądze w przedsięwzięciach które nie przynoszą dochodów i które ostatecznie nie przyczynią się do utrzymania miejsc pracy."
6,0,EN,TRUE,,-1,"To zdanie jest o tym, że dalsze rozszerzenie dofinansowania jest niepożądane, oraz promuje zakończenie go wcześniej raczej niż później.",FALSE,"Pani Prezydent, Panie Almunia, musimy połknąć gorzką pigułkę teraz zamiast znoszenia dalszych dekad choroby nierentowności.",,"Dlatego też popieram propozycję Komisji by wycować się ze wsparcia państwowego w 2014 r dla wyrobisk, które nie są konkurencyjne do tego terminu."
7,0,EN,TRUE,,-1,"To zdanie jest częścią argumentu, że niedochodowe kopalnie blokują ruch w kierunku konkurencyjności, i że utrzymanie wsparcia państwowego po prostu utrudnia nieuchronne zamknięcia przynoszących straty kopalni.",FALSE,"Europejskie kopalnie węgla będą, prędzej czy później, musiały się zaadaptować do zmian.","Globalizacja oznacza, że będą znaczące presje cenowe na węgiel.",Kontynuowane wsparcie państwa dla kopalni które nie przynoszą dochodów tylko spowalnia ten proces adaptacji i ogranicza nasze możliwości realizacji koniecznych zmian.
8,0,EN,TRUE,,-1,"To zdanie jest argumentem, że dalsze przedłużanie wsparcia państwowego jest niepożądane, oraz promuje zakończenie ich wcześniej raczej niż później.",FALSE,Niedochodowe branże nie mogą być trzymane na kroplówce bez końca.,"Produkcja przeniesie się do krajów gdzie siła robocza jest tańsza, a w UE tam gdzie produkuje się węgiel okaże się, że miejsca pracy i dochody będą się kurczyć. Mimo że nie jest do pożądany rozwój wydarzeń, działania władz nie mogą być w konflikcie z podstawowymi zasadami działania gospodarki rynkowej.","Musimy pamiętać, że strukturalne zmiany na taką skalę nieuchronnie będą miały dalekosiężne i dramatyczne konsekwencje społeczne."
9,0,EN,TRUE,,-1,"To zdanie potępia sztuczne wsparcie dla niekonkurencyjnych branż, i argumentuje za zakończeniem wsparcia państwowego wcześniej raczej niż później.",FALSE,Chcielibyśmy zastosować środki bezpośrednio sprzeczne z duchem konkurencyjności i wydajności jeśli Parlament miałby pozwolić krajom członkowskim na marnowanie miliardów na swoje kopalnie węgla.,"Pomimo wielu dobrych przemówień na temat klimatu Europa będzie nadal trzymać się swojej czarnej od węgla przeszłości poprzez adoptowanie tego raportu. W ramach strategii Europa 2020, UE chciałaby szybko przemieścić się w kierunku niskoemisyjnej przyszłości opartej o odnawialne źródła energii.","Aktualne zasady wsparcia finansowego wygasłyby w grudniu, ale według propozycji Komicji miałyby one być przedłużone do 2014 r. Węgielny mrok jest zintensyfikowany przez fakt, że Parlament chce by okres wsparcia był wydłużony na cały czas aż do 2018 r. Dwa lata temu, fundusze krajów UE dla przemysłu produkującego i korzystającego z twardego węgla, znaczy się antracytu, były  na poziomie 2,9 mld euro. To tylko pokazuje że nadal jest o wiele więcej wsparcia dla paliw kopalnych niż dla odnawialnych źródeł energii, i to pomimo faktu, że nasze cele klimatyczne wymagałyby odwrotnej polityki."
10,0,EN,TRUE,,-1,"To zdanie jest antysubwencyjne bo popiera ono propozycję Komisji by wycować je do 2014 roku, zamiast przedłużania ich do 2018 roku lub później.",FALSE,Powinniśmy poprzeć propozycję Komisji.,"To będzie również oznaczać, że transformacja której potrzebujemy żeby stać się bardziej konkurencyjnymi, będzie wolniejsza. Będzie to oznaczać, że nie uda nam się rozwijać w innych obszarach oraz że, w perspektywie kilku lat, ludzie nadal będą zatrudnieni w branżach które nie oferują długoterminowego bezpieczeństwa oraz możliwości utrzymania się, a te obszary o których teraz mówimy będą nadal zależne od górnictwa węglowego w nie przynoszących dochodów kopalniach.",
