"","language","speechno","sentence_text","pre_sentence","post_sentence"
"SV1_1","SV",1,"Fru talman, herr Almunia, mina damer och herrar! För det första vill jag gratulera dig, Joaquín Almunia, och dina avdelningar.","","Den konsekvensbedömning som du har redogjort för är mycket bra. Den är grundad på fakta, den är slutgiltig och den är rakt på sak."
"SV1_2","SV",1,"Den konsekvensbedömning som du har redogjort för är mycket bra.","Fru talman, herr Almunia, mina damer och herrar! För det första vill jag gratulera dig, Joaquín Almunia, och dina avdelningar.","Den är grundad på fakta, den är slutgiltig och den är rakt på sak. Det är synd att de andra ledamöterna av kommissionärskollegiet inte har läst denna konsekvensbedömning, för om de hade gjort det skulle de inte ha kunnat lägga fram detta förslag, som inte har något med konsekvensbedömningen att göra."
"SV1_3","SV",1,"Den är grundad på fakta, den är slutgiltig och den är rakt på sak.","Fru talman, herr Almunia, mina damer och herrar! För det första vill jag gratulera dig, Joaquín Almunia, och dina avdelningar. Den konsekvensbedömning som du har redogjort för är mycket bra.","Det är synd att de andra ledamöterna av kommissionärskollegiet inte har läst denna konsekvensbedömning, för om de hade gjort det skulle de inte ha kunnat lägga fram detta förslag, som inte har något med konsekvensbedömningen att göra. Jag undrar exempelvis hur kommissionärskollegiet valde årtalet."
"SV1_4","SV",1,"Det är synd att de andra ledamöterna av kommissionärskollegiet inte har läst denna konsekvensbedömning, för om de hade gjort det skulle de inte ha kunnat lägga fram detta förslag, som inte har något med konsekvensbedömningen att göra.","Den konsekvensbedömning som du har redogjort för är mycket bra. Den är grundad på fakta, den är slutgiltig och den är rakt på sak.","Jag undrar exempelvis hur kommissionärskollegiet valde årtalet. Det nämns inte överhuvudtaget i konsekvensbedömningen."
"SV1_5","SV",1,"Jag undrar exempelvis hur kommissionärskollegiet valde årtalet.","Den är grundad på fakta, den är slutgiltig och den är rakt på sak. Det är synd att de andra ledamöterna av kommissionärskollegiet inte har läst denna konsekvensbedömning, för om de hade gjort det skulle de inte ha kunnat lägga fram detta förslag, som inte har något med konsekvensbedömningen att göra.","Det nämns inte överhuvudtaget i konsekvensbedömningen. Den enda tänkbara förklaringen till valet av årtal är att 2014 ligger exakt halvvägs mellan 2010 och 2018."
"SV1_6","SV",1,"Det nämns inte överhuvudtaget i konsekvensbedömningen.","Det är synd att de andra ledamöterna av kommissionärskollegiet inte har läst denna konsekvensbedömning, för om de hade gjort det skulle de inte ha kunnat lägga fram detta förslag, som inte har något med konsekvensbedömningen att göra. Jag undrar exempelvis hur kommissionärskollegiet valde årtalet.","Den enda tänkbara förklaringen till valet av årtal är att 2014 ligger exakt halvvägs mellan 2010 och 2018. Det måste bero på det."
"SV1_7","SV",1,"Den enda tänkbara förklaringen till valet av årtal är att 2014 ligger exakt halvvägs mellan 2010 och 2018.","Jag undrar exempelvis hur kommissionärskollegiet valde årtalet. Det nämns inte överhuvudtaget i konsekvensbedömningen.","Det måste bero på det. Det kan emellertid också bero på att de inte har förstått innehållet."
"SV1_8","SV",1,"Det måste bero på det.","Det nämns inte överhuvudtaget i konsekvensbedömningen. Den enda tänkbara förklaringen till valet av årtal är att 2014 ligger exakt halvvägs mellan 2010 och 2018.","Det kan emellertid också bero på att de inte har förstått innehållet. Inga av argumenten till stöd för detta förslag kan tas på allvar, för de är inte korrekta."
"SV1_9","SV",1,"Det kan emellertid också bero på att de inte har förstått innehållet.","Den enda tänkbara förklaringen till valet av årtal är att 2014 ligger exakt halvvägs mellan 2010 och 2018. Det måste bero på det.","Inga av argumenten till stöd för detta förslag kan tas på allvar, för de är inte korrekta. Ett argument är att de bestämmelser för statligt stöd som antogs 2002, och som snart kommer att upphöra att gälla, gick ut på att kolgruvedriften skulle fasas ut."
"SV1_10","SV",1,"Inga av argumenten till stöd för detta förslag kan tas på allvar, för de är inte korrekta.","Det måste bero på det. Det kan emellertid också bero på att de inte har förstått innehållet.","Ett argument är att de bestämmelser för statligt stöd som antogs 2002, och som snart kommer att upphöra att gälla, gick ut på att kolgruvedriften skulle fasas ut. Detta är förstås helt felaktigt."
