_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,pub_scale,orig__golden,post_sentence,pre_sentence,orig_pub_scale,pub_scale_gold,pub_scale_gold_max,pub_scale_gold_min,pub_scale_gold_reason,reviewno,screener,sentence_text,sentenceid
620379117,12/4/2014 20:21:20,false,1493978853,,12/4/2014 20:19:25,false,neodev,0.8125,26068994,BGD,"","",27.147.255.242,1,"","The reviews, as you can see are quite split on the piece. However after a great deal of thought and discussion with my colleagues on the editorial team,  we believe that there is considerable  potential to this paper.","","","","","","",1,FALSE,We now have five complete reviews in for your APSR submission.,101
620379117,12/4/2014 20:22:16,false,1493979214,,12/4/2014 20:19:37,false,neodev,0.7,24196940,IND,16,Mumbai,210.89.54.179,1,"","The reviews, as you can see are quite split on the piece. However after a great deal of thought and discussion with my colleagues on the editorial team,  we believe that there is considerable  potential to this paper.","","","","","","",1,FALSE,We now have five complete reviews in for your APSR submission.,101
620379117,12/4/2014 20:22:49,false,1493979518,,12/4/2014 20:19:35,false,neodev,1.0,28340590,GRC,11,Kozáni,94.67.75.44,0,"","The reviews, as you can see are quite split on the piece. However after a great deal of thought and discussion with my colleagues on the editorial team,  we believe that there is considerable  potential to this paper.","","","","","","",1,FALSE,We now have five complete reviews in for your APSR submission.,101
620379117,12/4/2014 20:23:07,false,1493979630,,12/4/2014 20:19:02,false,neodev,0.7273,15090544,ESP,29,Torrejón De Velasco,83.53.40.44,1,"","The reviews, as you can see are quite split on the piece. However after a great deal of thought and discussion with my colleagues on the editorial team,  we believe that there is considerable  potential to this paper.","","","","","","",1,FALSE,We now have five complete reviews in for your APSR submission.,101
620379117,12/4/2014 20:28:24,false,1493981924,,12/4/2014 20:27:12,false,neodev,0.8333,30483554,HUN,05,Budapest,89.132.98.183,0,"","The reviews, as you can see are quite split on the piece. However after a great deal of thought and discussion with my colleagues on the editorial team,  we believe that there is considerable  potential to this paper.","","","","","","",1,FALSE,We now have five complete reviews in for your APSR submission.,101
620379118,12/4/2014 20:18:44,false,1493977713,,12/4/2014 20:16:50,false,clixsense,0.8571,6499347,SRB,00,Belgrade,46.240.244.239,1,"","However after a great deal of thought and discussion with my colleagues on the editorial team,  we believe that there is considerable  potential to this paper. Thus we want to give you an opportunity to address the issues raised by the reviewers, and  would like to invite you to revise and resubmit your paper ""Crowd-sourced Coding of Political Texts"" (APSR-D-14-00400) for further consideration.",We now have five complete reviews in for your APSR submission.,"","","","","",1,FALSE,"The reviews, as you can see are quite split on the piece.",102
620379118,12/4/2014 20:18:50,false,1493977783,,12/4/2014 20:16:40,false,neodev,0.7692,11911928,PRT,14,Lisbon,79.169.53.67,-1,"","However after a great deal of thought and discussion with my colleagues on the editorial team,  we believe that there is considerable  potential to this paper. Thus we want to give you an opportunity to address the issues raised by the reviewers, and  would like to invite you to revise and resubmit your paper ""Crowd-sourced Coding of Political Texts"" (APSR-D-14-00400) for further consideration.",We now have five complete reviews in for your APSR submission.,"","","","","",1,FALSE,"The reviews, as you can see are quite split on the piece.",102
620379118,12/4/2014 20:18:59,false,1493977848,,12/4/2014 20:16:35,false,neodev,0.9375,30571937,GRC,35,Athens,79.166.125.87,-1,"","However after a great deal of thought and discussion with my colleagues on the editorial team,  we believe that there is considerable  potential to this paper. Thus we want to give you an opportunity to address the issues raised by the reviewers, and  would like to invite you to revise and resubmit your paper ""Crowd-sourced Coding of Political Texts"" (APSR-D-14-00400) for further consideration.",We now have five complete reviews in for your APSR submission.,"","","","","",1,FALSE,"The reviews, as you can see are quite split on the piece.",102
620379118,12/4/2014 20:19:00,false,1493977875,,12/4/2014 20:16:41,false,clixsense,0.7,26721317,MKD,41,Skopje,77.28.253.198,-1,"","However after a great deal of thought and discussion with my colleagues on the editorial team,  we believe that there is considerable  potential to this paper. Thus we want to give you an opportunity to address the issues raised by the reviewers, and  would like to invite you to revise and resubmit your paper ""Crowd-sourced Coding of Political Texts"" (APSR-D-14-00400) for further consideration.",We now have five complete reviews in for your APSR submission.,"","","","","",1,FALSE,"The reviews, as you can see are quite split on the piece.",102
620379118,12/4/2014 20:26:13,false,1493980918,,12/4/2014 20:21:50,false,clixsense,0.8182,29325954,PHL,F2,Quezon City,121.97.142.131,0,"","However after a great deal of thought and discussion with my colleagues on the editorial team,  we believe that there is considerable  potential to this paper. Thus we want to give you an opportunity to address the issues raised by the reviewers, and  would like to invite you to revise and resubmit your paper ""Crowd-sourced Coding of Political Texts"" (APSR-D-14-00400) for further consideration.",We now have five complete reviews in for your APSR submission.,"","","","","",1,FALSE,"The reviews, as you can see are quite split on the piece.",102
620379119,12/4/2014 20:16:29,false,1493976819,,12/4/2014 20:15:04,false,neodev,0.7778,20045399,GBR,M2,Solihull,82.36.155.235,1,"","Thus we want to give you an opportunity to address the issues raised by the reviewers, and  would like to invite you to revise and resubmit your paper ""Crowd-sourced Coding of Political Texts"" (APSR-D-14-00400) for further consideration. To be quite frank, this was very difficult decision for us.","We now have five complete reviews in for your APSR submission. The reviews, as you can see are quite split on the piece.","","","","","",1,FALSE,"However after a great deal of thought and discussion with my colleagues on the editorial team,  we believe that there is considerable  potential to this paper.",103
620379119,12/4/2014 20:17:19,false,1493977214,,12/4/2014 20:15:15,false,neodev,0.8125,26068994,BGD,"","",27.147.255.242,1,"","Thus we want to give you an opportunity to address the issues raised by the reviewers, and  would like to invite you to revise and resubmit your paper ""Crowd-sourced Coding of Political Texts"" (APSR-D-14-00400) for further consideration. To be quite frank, this was very difficult decision for us.","We now have five complete reviews in for your APSR submission. The reviews, as you can see are quite split on the piece.","","","","","",1,FALSE,"However after a great deal of thought and discussion with my colleagues on the editorial team,  we believe that there is considerable  potential to this paper.",103
620379119,12/4/2014 20:17:22,false,1493977221,,12/4/2014 20:15:40,false,neodev,0.8333,30483554,HUN,05,Budapest,89.132.98.183,1,"","Thus we want to give you an opportunity to address the issues raised by the reviewers, and  would like to invite you to revise and resubmit your paper ""Crowd-sourced Coding of Political Texts"" (APSR-D-14-00400) for further consideration. To be quite frank, this was very difficult decision for us.","We now have five complete reviews in for your APSR submission. The reviews, as you can see are quite split on the piece.","","","","","",1,FALSE,"However after a great deal of thought and discussion with my colleagues on the editorial team,  we believe that there is considerable  potential to this paper.",103
620379119,12/4/2014 20:19:00,false,1493977877,,12/4/2014 20:15:31,false,neodev,0.7273,15090544,ESP,29,Torrejón De Velasco,83.53.40.44,1,"","Thus we want to give you an opportunity to address the issues raised by the reviewers, and  would like to invite you to revise and resubmit your paper ""Crowd-sourced Coding of Political Texts"" (APSR-D-14-00400) for further consideration. To be quite frank, this was very difficult decision for us.","We now have five complete reviews in for your APSR submission. The reviews, as you can see are quite split on the piece.","","","","","",1,FALSE,"However after a great deal of thought and discussion with my colleagues on the editorial team,  we believe that there is considerable  potential to this paper.",103
