"sentenceid","reviewno","_golden","pub_scale","pub_scale_gold","pub_scale_gold_min","pub_scale_gold_max","pub_scale_gold_reason","screener","sentence_text","pre_sentence","post_sentence"
101,1,"","","","","","",FALSE,"We now have five complete reviews in for your APSR submission.","","The reviews, as you can see are quite split on the piece. However after a great deal of thought and discussion with my colleagues on the editorial team,  we believe that there is considerable  potential to this paper."
102,1,"","","","","","",FALSE,"The reviews, as you can see are quite split on the piece.","We now have five complete reviews in for your APSR submission.","However after a great deal of thought and discussion with my colleagues on the editorial team,  we believe that there is considerable  potential to this paper. Thus we want to give you an opportunity to address the issues raised by the reviewers, and  would like to invite you to revise and resubmit your paper ""Crowd-sourced Coding of Political Texts"" (APSR-D-14-00400) for further consideration."
103,1,"","","","","","",FALSE,"However after a great deal of thought and discussion with my colleagues on the editorial team,  we believe that there is considerable  potential to this paper.","We now have five complete reviews in for your APSR submission. The reviews, as you can see are quite split on the piece.","Thus we want to give you an opportunity to address the issues raised by the reviewers, and  would like to invite you to revise and resubmit your paper ""Crowd-sourced Coding of Political Texts"" (APSR-D-14-00400) for further consideration. To be quite frank, this was very difficult decision for us."
104,1,"","","","","","",FALSE,"Thus we want to give you an opportunity to address the issues raised by the reviewers, and  would like to invite you to revise and resubmit your paper ""Crowd-sourced Coding of Political Texts"" (APSR-D-14-00400) for further consideration.","The reviews, as you can see are quite split on the piece. However after a great deal of thought and discussion with my colleagues on the editorial team,  we believe that there is considerable  potential to this paper.","To be quite frank, this was very difficult decision for us. The reviews, at best are split with reviewers 1 and 2 rather positive about the piece (although much of the their positive assessments are based on the potential important impact of the paper) whereas reviewers 3, 4, and 5 are rather negative."
105,1,"","","","","","",FALSE,"To be quite frank, this was very difficult decision for us.","However after a great deal of thought and discussion with my colleagues on the editorial team,  we believe that there is considerable  potential to this paper. Thus we want to give you an opportunity to address the issues raised by the reviewers, and  would like to invite you to revise and resubmit your paper ""Crowd-sourced Coding of Political Texts"" (APSR-D-14-00400) for further consideration.","The reviews, at best are split with reviewers 1 and 2 rather positive about the piece (although much of the their positive assessments are based on the potential important impact of the paper) whereas reviewers 3, 4, and 5 are rather negative. Reviewers 3 and 4 recommend rejection of the paper, and reviewer 5 recommends very major revisions."
106,1,"","","","","","",FALSE,"The reviews, at best are split with reviewers 1 and 2 rather positive about the piece (although much of the their positive assessments are based on the potential important impact of the paper) whereas reviewers 3, 4, and 5 are rather negative.","Thus we want to give you an opportunity to address the issues raised by the reviewers, and  would like to invite you to revise and resubmit your paper ""Crowd-sourced Coding of Political Texts"" (APSR-D-14-00400) for further consideration. To be quite frank, this was very difficult decision for us.","Reviewers 3 and 4 recommend rejection of the paper, and reviewer 5 recommends very major revisions. Despite these differences in judgments, the reviewers are actually remarkably similar in their assessments, both positive and negative, about the paper."
107,1,"","","","","","",FALSE,"Reviewers 3 and 4 recommend rejection of the paper, and reviewer 5 recommends very major revisions.","To be quite frank, this was very difficult decision for us. The reviews, at best are split with reviewers 1 and 2 rather positive about the piece (although much of the their positive assessments are based on the potential important impact of the paper) whereas reviewers 3, 4, and 5 are rather negative.","Despite these differences in judgments, the reviewers are actually remarkably similar in their assessments, both positive and negative, about the paper. As to the positives, all of the reviewers see great potential to this piece, and see it as potentially having an enormously important transformative effect on how we go about the business of ""coding""."
108,1,"","","","","","",FALSE,"Despite these differences in judgments, the reviewers are actually remarkably similar in their assessments, both positive and negative, about the paper.","The reviews, at best are split with reviewers 1 and 2 rather positive about the piece (although much of the their positive assessments are based on the potential important impact of the paper) whereas reviewers 3, 4, and 5 are rather negative. Reviewers 3 and 4 recommend rejection of the paper, and reviewer 5 recommends very major revisions.","As to the positives, all of the reviewers see great potential to this piece, and see it as potentially having an enormously important transformative effect on how we go about the business of ""coding"". However they all indicate, even the more positive reviewers, that there is great room for improvement, and that much more work needs to be done in order for this piece to be ready for the APSR."
109,1,"","","","","","",FALSE,"As to the positives, all of the reviewers see great potential to this piece, and see it as potentially having an enormously important transformative effect on how we go about the business of ""coding"".","Reviewers 3 and 4 recommend rejection of the paper, and reviewer 5 recommends very major revisions. Despite these differences in judgments, the reviewers are actually remarkably similar in their assessments, both positive and negative, about the paper.","However they all indicate, even the more positive reviewers, that there is great room for improvement, and that much more work needs to be done in order for this piece to be ready for the APSR. In particular there appear to be three major objections to the paper expressed by the reviewers."
110,1,"","","","","","",FALSE,"However they all indicate, even the more positive reviewers, that there is great room for improvement, and that much more work needs to be done in order for this piece to be ready for the APSR.","Despite these differences in judgments, the reviewers are actually remarkably similar in their assessments, both positive and negative, about the paper. As to the positives, all of the reviewers see great potential to this piece, and see it as potentially having an enormously important transformative effect on how we go about the business of ""coding"".","In particular there appear to be three major objections to the paper expressed by the reviewers. First, although you do an admirable job in demonstrating crowd sourcing might be a good alternative to expert coding, it is not clear what is being compared here - what is meant by ""expert coding"" - as Reviewer 1 notes, this can mean different things."
111,1,"","","","","","",FALSE,"In particular there appear to be three major objections to the paper expressed by the reviewers.","As to the positives, all of the reviewers see great potential to this piece, and see it as potentially having an enormously important transformative effect on how we go about the business of ""coding"". However they all indicate, even the more positive reviewers, that there is great room for improvement, and that much more work needs to be done in order for this piece to be ready for the APSR.","First, although you do an admirable job in demonstrating crowd sourcing might be a good alternative to expert coding, it is not clear what is being compared here - what is meant by ""expert coding"" - as Reviewer 1 notes, this can mean different things. This is mentioned both by reviewer 1 (who is positive about the paper) and reviewer 4 (who recommends reject)."
112,1,"","","","","","",FALSE,"First, although you do an admirable job in demonstrating crowd sourcing might be a good alternative to expert coding, it is not clear what is being compared here - what is meant by ""expert coding"" - as Reviewer 1 notes, this can mean different things.","However they all indicate, even the more positive reviewers, that there is great room for improvement, and that much more work needs to be done in order for this piece to be ready for the APSR. In particular there appear to be three major objections to the paper expressed by the reviewers.","This is mentioned both by reviewer 1 (who is positive about the paper) and reviewer 4 (who recommends reject). For instance, both reviewers note that whether crowd sourcing is a viable alternative, and whether it really saves time and effort depends  on what the alternatives are (which are not described in much detail in the paper)."
113,1,"","","","","","",FALSE,"This is mentioned both by reviewer 1 (who is positive about the paper) and reviewer 4 (who recommends reject).","In particular there appear to be three major objections to the paper expressed by the reviewers. First, although you do an admirable job in demonstrating crowd sourcing might be a good alternative to expert coding, it is not clear what is being compared here - what is meant by ""expert coding"" - as Reviewer 1 notes, this can mean different things.","For instance, both reviewers note that whether crowd sourcing is a viable alternative, and whether it really saves time and effort depends  on what the alternatives are (which are not described in much detail in the paper). As reviewer1 notes: ""if this is to work correctly, experts do have to come up with a set of clear, detailed instructions, and they need to come up with numerous ""gold questions"" to evaluate coder quality"" - then how much time and effort is actually saved?"
