sentenceid,reviewno,_golden,pub_scale,pub_scale_gold,pub_scale_gold_min,pub_scale_gold_max,pub_scale_gold_reason,screener,sentence_text,pre_sentence,post_sentence
1,0,TRUE,,-1,,,This is an overall negative evaluation that states that suggests rejection would be justified.,FALSE,This sort of mixed feedback would normally lead me to reject the manuscript for publication.,"Third, and related to the previous points, there is a question as to how well this technique travels beyond the simple textual example provided. Several of the reviewers point out that perhaps it does not travel well beyond English, and wonder whether the argument about the generalizability of the technique could be strengthened.","However, I believe that this piece has enormous potential, and if properly and thoroughly revised, it COULD represent a fine addition to the APSR. For this reason, we believe that we can extend to you the opportunity to revise and resubmit the paper for further consideration."
2,0,TRUE,,-1,,,This negative comment suggests that the article should be rejected.,FALSE,The manuscript fails to make a sufficient contribution to justify publication.,"While the authors have demonstrated the effectiveness of this method for analyses of parties' policy positions, this paper does not appear to be the introduction of a new method. Rather, this paper outlines, in an admittedly effective manner, the conditions under which the method can be utilized to produce certain types of data.","Moreover, while the paper has convincingly demonstrated that crowd sourcing is an efficient method of calculating parties' policy positions from textual data sources in the British context, the authors have not demonstrated the applicability of this method for other types of data. Would the authors have found as reliable of estimates for languages other than English?"
3,0,TRUE,,-1,,,This negative comment suggests that the article should be rejected.,FALSE,The intellectual contribution of the manuscript is too limited.,"The leads us to the question of publication in APSR. From my perspective, the paper, in a revised version, would be perfect for a specialized journal such as Political Analysis.","After all, Crowd-Sourcing has existed long before this paper even though it does a nice job in presenting it to a political science audience."
4,0,TRUE,,-1,,,"This states that making a decision on publishing the article was difficult, which is negative from the standpoint of deciding whether it should be published.",FALSE,We found making a decision on this manuscript to be very difficult.,"However after a great deal of thought and discussion with my colleagues on the editorial team,  we believe that there is considerable  potential to this paper. Thus we want to give you an opportunity to address the issues raised by the reviewers, and  would like to invite you to revise and resubmit your paper ""Crowd-sourced Coding of Political Texts"" (APSR-D-14-00400) for further consideration.","The reviews, at best are split with reviewers 1 and 2 rather positive about the piece (although much of the their positive assessments are based on the potential important impact of the paper) whereas reviewers 3, 4, and 5 are rather negative. Reviewers 3 and 4 recommend rejection of the paper, and reviewer 5 recommends very major revisions."
5,0,TRUE,,-1,,,"This question casts doubt on what is a key positive claim of the paper, which also casts doubt on whether it should be published.",FALSE,"Is this really the solution to all of our problems, as the paper suggests?","But what if I am involved in the policy agendas project, with its current 19 major topics and 224 subtopics? Or what if my project crosses languages as in the CMP?","It would be helpful for the authors to reflect more on the scope of feasible projects, limitations of the worker bee population etc in their conclusion. But overall the paper is in great shape."
6,0,TRUE,,-1,,,This is a (mildly) negative statement stating that the article's presentation is unclear.,FALSE,But this material is quite difficult to understand.,"In addition to the above, there is one minor point that the authors may wish to clarify. The authors rely very heavily on supplementary materials found in the appendix.","Frequently, in the main text of the document, the authors refer the reader to the supplementary materials in general, rather than any specific area of the 27 page appendix. Moreover, much of the information found in the appendix has no discussion or information about how to situate the analyses."
7,0,TRUE,,-1,,,"This statement casts doubt on the ability of crowdsourcing to create sound data, as crowds are uninformed.",FALSE,"Put another way, an uninformed group will give uninformed answers.","The figure shows clearly that the mean ""wisdom of crowds"" position is statistically indistinguishable from the mean positions of moderately to unsophisticated respondents. Moreover, the highly knowledgeable respondents place the party to the right to both the low, moderately, knowledgeable and total number of respondents, with all such comparisons being statistical significant.","What matters therefore, is not how many people are in the crowd, but to establish a mechanism in which researchers can pick and use only those from the crowd that are actually knowledgeable about the task at hand because these are the ones that give the most useful responses. The responses of all others, do not only add noise in the estimates, but can steer away the estimate from the true value (unreliability limits the chance of validity as Krippendorff 2004a, pp. 212–214 famously illustrated)."
8,0,TRUE,,-1,,,"This statement casts doubt on the value of crowd-sourced data, as other methods could be better and more efficient.",FALSE,It's also possible that other methods would be more efficient and more cost-effective.,"For instance, the authors claim that crowdsourcing is ""inexpensive"" (p. 31) since it cost them $360 to code 9 manifestos for one policy area (so $40, about 28 euros per party per policy area). cf. this to Gemenis and van Ham (2014) who used an Delphi aggregation with 7 experts (ranging from professors to master’s students) which cost them 980 euros to code 8 parties for 6 policy areas (so 20.40 euros per party per policy area).",The results of crowdsourcing immigration policy positions (Table 4) produced wide confidence intervals that made most parties statistically indistinguishable from each other. $360 were spent just to find out that BNP and UKIP can be distinguished from all other British parties (but the other parties could not be distinguished from one another).
9,0,TRUE,,0,,,This is a neutral statement since it contains an even balance of positive and negative references.,FALSE,This is mentioned both by reviewer 1 (who suggests accepting the paper) and reviewer 5 (who suggests we should reject the paper).,"In particular there appear to be three major objections to the paper expressed by the reviewers. First, although you do an admirable job in demonstrating crowd sourcing might be a good alternative to expert coding, it is not clear what is being compared here - what is meant by ""expert coding"" - as Reviewer 1 notes, this can mean different things.","For instance, both reviewers note that whether crowd sourcing is a viable alternative, and whether it really saves time and effort depends  on what the alternatives are (which are not described in much detail in the paper). As reviewer1 notes: ""if this is to work correctly, experts do have to come up with a set of clear, detailed instructions, and they need to come up with numerous ""gold questions"" to evaluate coder quality"" - then how much time and effort is actually saved?"
10,0,TRUE,,0,,,This is a neutral statement of instructions rather than evaluations.,FALSE,In a revised piece you should respond to all of the points made by this group of helpful and perceptive referees.,"This is not a guarantee of publication, only that we believe that there is enough potential here to warrant taking a chance on the paper. Thus, after our own reading of the paper, we agree that major revisions need to be made to the piece before resubmission.",
