sentenceid,manifestoid,sentence_text,area,scale,policy_area_gold_reason,Ncodes,EconNeg2,EconNeg1,Econ0,EconPos1,EconPos2,SocNeg2,SocNeg1,Soc0,SocPos1,SocPos2,Neither,propEcon,propSoc,propNone,propEconLeft,propEconMiddle,propEconRight,propSocLeft,propSocMiddle,propSocRight,gold_scale,expanded_gold_scale,gold_position
20002551,LD 1987,Tax cuts have had a higher priority than job creation.,Econ,Somewhat Left,Setting the appropriate level of taxation is a core part of economic policy. Giving more importance to jobs than to tax cuts is traditionally the approach of the left. ,6,2,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
20002761,LD 1987,We would restore maternity grants and give a tax allowance to help with child-care costs.,Econ,Somewhat Left,"Anything relating to tax levels, tax breaks, or tax policy is a core part of economic policy. Advocating higher taxes to fund social services is a policy of the left.",6,2,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
20003501,LD 1987,"Trades unions are an essential element in the protection of the employees' interests, which is why we would return union recognition to GCHQ members.",Econ,Somewhat Left,"Anything relating to tax levels, tax breaks, or tax policy is a core part of economic policy. Advocating higher taxes to fund social protection is a policy of the left.",6,1,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
20004501,LD 1987,"The Conservatives' taxation and benefit policies have redistributed income from the poor to the rich, from people with dependent children to single people and childless couples, and from one group of the poor to another group of the poor.",Econ,Somewhat Left,"Anything relating to tax levels, tax breaks, or tax policy is a core part of economic policy. Advocating higher taxes to fund social protection is a policy of the left.",6,3,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
20004511,LD 1987,This is unjust and unacceptable.,Econ,Somewhat Left,"""Benefits"" means welfare benefits, a core part of economic policy. Attacking tax breaks for the rich while the poor suffer is a position taken by the left.",6,4,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
20004521,LD 1987,The Alliance will tackle poverty by targeting much higher benefits to those with the lowest incomes in relation to their needs.,Econ,Somewhat Left,"""Benefits"" means welfare benefits, a core part of economic policy. Redistributing resources to aid the poor is a position taken by the left.",6,5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
20004541,LD 1987,We will improve benefits for the disabled and those caring for elderly and disabled relatives at home.,Econ,Somewhat Left,"""Benefits"" means welfare benefits, a core part of economic policy. Redistributing resources to aid the elderly and disabled is a position taken by the left.",6,2,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
20004571,LD 1987,These improvements will be paid for in part from increasing public expenditure by a net £1.75 billion by the second year.,Econ,Somewhat Left,Spending on capital investment is economic policy. Increasing spending is usually a left position.,6,2,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
20004581,LD 1987,The remainder will be paid for from increased tax revenues and from changes which will make the tax system fairer.,Econ,Somewhat Left,Government spending is part of economic policy. Increasing spending is usually a left position.,6,3,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
20004601,LD 1987,The Immediate Package. PENSIONERS. We intend to concentrate the bulk of extra spending on helping poorer pensioners with incomes on and just above the state retirement pension.,Econ,Somewhat Left,"""Benefits"" means welfare benefits, a core part of economic policy. Redistributing resources to aid the elderly is a position taken by the left.",6,1,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
