"text_unit_id","sentence_text","pre_sentence","post_sentence","policy_area_gold","econ_scale_gold","soc_scale_gold","_gold"
30000811,"We will immediately increase the single pension by £5 a week and the pension for a married couple by £8, as the first step in re-establishing a link between pensions and average earnings or living costs, whichever is the most favourable to pe","The Labour government will combat poverty directly.","We will begin the abolition of the TV licence fee for pensioners.",2,-1,NA,"TRUE"
30000911,"We will extend the long-term supplementary benefit rate to the long-term unemployed.","Our special Minister for the Disabled will be put in charge of our programme for the disabled.","We will implement a comprehensive strategy for ending low pay, notably by the introduction of a statutory national minimum wage.",2,-1,NA,"TRUE"
30000921,"We will implement a comprehensive strategy for ending low pay, notably by the introduction of a statutory national minimum wage.","We will extend the long-term supplementary benefit rate to the long-term unemployed.","This will be of particular benefit to women workers, and will help lift families out of poverty.",2,-1,NA,"TRUE"
30001271,"Social ownership of basic utilities like gas and water is vital to ensure that every individual has access to their use and that the companies contribute to Britain's industrial recovery, for instance, by buying British.","In particular, we will set up British Enterprise, to take a socially owned stake in high-tech industries and other concerns where public funds are used to strengthen investment.","We shall start by using the exist mg 49 per cent holding in British Telecom to ensure proper influence in their decisions.",2,-1,NA,"TRUE"
20003501,"Trades unions are an essential element in the protection of the employees' interests, which is why we would return union recognition to GCHQ members.","We have long been committed to trade union reform aimed at giving unions back to their members and we have taken the lead n promoting the extension of postal ballots and internal elections and have vigorously opposed pre-entry closed shops.","Our central aim is to make unions democratic and accountable and therefore entitled to positive rights including the right to recognition and the right to strike balanced by the acceptance of their responsibilities to their members, their indus",2,-1,NA,"TRUE"
20004601,"THE IMMEDIATE PACKAGE. PENSIONERS. We intend to concentrate the bulk of extra spending on helping poorer pensioners with incomes on and just above the state retirement pension.","The second phase of our proposals will be a restructuring of the tax and benefits systems to create one integrated system which will be simpler and fairer.","We will increase the basic state retirement pension by £2.30 a week for a single person and £3.65 for a married couple.",2,-1,NA,"TRUE"
20004681,"We will increase the bonus by paying a double pension in the first week of December.","The £10 Christmas bonus has became hopelessly inadequate to meet the extra spending pensioners and widows face at Christmas.","A single person will receive £39.50 and a married couple £63.25.",2,-1,NA,"TRUE"
60002701,"We are committed to reversing this trend of spending.","GOVERNMENT SPENDING ON EDUCATION. The Conservatives have cut government spending on education as a share of national income by the equivalent of more than £3 billion as spending on the bills of economic and social failure has risen.","Over the course of a five-year Parliament, as we cut the costs of economic and social failure we will raise the proportion of national income spent on education.",2,-1,NA,"TRUE"
50000511,"This will be the first call on our £2 billion annual programme of extra investment in education.","We will: Give children the best start by providing high quality early years education for every 3 and 4 year-old child whose parents want it.","Promote high standards in early years education.",2,-1,NA,"TRUE"
50006091,"This will be paid for by introducing a new top tax rate of 5Op on taxable income of over £100,000 per year.","This will provide lower taxes and new incentives to work, while cutting the benefits bill and reducing tax for 99.5 per cent of all income taxpayers.","We will replace Income Support and Family Credit with a simpler, more efficient Low Income Benefit that increases financial incentives for people going back to work.",2,-1,NA,"TRUE"
